udi,product_id,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min
8670,M23529,M,297.5,308.8,1471,52.3,152
1140,M15999,M,297.0,307.9,1569,33.3,141
5280,L52459,L,303.6,313.0,1522,35.8,133
2515,L49694,L,298.9,308.6,2069,18.7,27
4399,M19258,M,302.3,310.1,1563,37.8,31
6145,M21004,M,301.1,311.1,1615,37.7,153
6481,L53660,L,300.7,309.9,1775,26.6,149
1513,H30926,H,298.0,308.7,1503,36.3,5
9709,L56888,L,299.0,310.1,1664,29.7,89
7401,M22260,M,299.6,310.6,1633,34.2,151
1762,L48941,L,298.1,307.6,1950,20.3,202
5478,L52657,L,302.7,312.1,1763,26.5,184
8480,L55659,L,298.6,309.7,1627,33.4,99
636,L47815,L,298.3,310.0,1858,23.9,114
1963,L49142,L,297.8,307.5,1391,48.6,109
400,L47579,L,297.4,308.4,1392,49.7,174
2893,L50072,L,300.7,309.6,1329,54.3,80
5907,L53086,L,300.7,310.3,1533,35.6,198
504,M15363,M,297.6,309.2,1442,48.1,0
712,L47891,L,297.5,308.7,1443,46.2,110
1506,L48685,L,298.0,308.7,1626,36.7,210
8653,H38066,H,297.3,308.3,1461,41.5,108
8706,L55885,L,297.2,308.6,1437,52.4,37
8964,M23823,M,297.2,307.9,1687,30.4,82
3990,L51169,L,302.2,311.3,1602,32.8,120
5164,M20023,M,304.2,313.4,1713,23.5,50
7269,L54448,L,300.5,310.6,1543,36.2,30
9580,L56759,L,299.5,310.7,1589,33.5,5
3199,M18058,M,300.0,309.1,1463,45.7,11
3772,M18631,M,302.3,311.0,1384,49.7,192
9913,L57092,L,298.6,308.9,1327,58.8,9
4381,L51560,L,301.9,309.6,1410,49.0,223
5981,M20840,M,300.6,310.7,1654,32.0,180
5228,L52407,L,303.9,313.1,1440,41.1,12
7305,L54484,L,300.1,310.5,1394,44.3,121
4027,M18886,M,302.1,311.0,1574,34.1,215
5424,L52603,L,302.6,312.3,1647,31.8,52
1413,M16272,M,298.8,309.9,1415,53.2,194
8772,L55951,L,297.5,308.6,1536,39.0,202
8611,L55790,L,297.4,308.3,1561,38.3,0
4654,M19513,M,303.1,311.1,1594,35.5,13
7183,L54362,L,300.3,310.3,2158,16.8,32
3257,L50436,L,301.1,309.8,1519,39.6,167
1832,M16691,M,297.8,307.3,1315,54.0,180
9949,L57128,L,298.2,307.8,1804,25.1,108
3885,H33298,H,302.5,311.5,1626,36.0,44
4462,L51641,L,302.7,310.5,1642,30.8,195
2823,L50002,L,300.3,309.6,1593,38.1,140
2927,L50106,L,300.7,309.7,1507,52.4,163
9262,H38675,H,298.3,309.0,1470,38.4,10
2594,H32007,H,298.9,308.5,1415,54.0,6
8668,M23527,M,297.5,308.8,1455,46.1,147
8004,M22863,M,300.8,312.0,1274,67.3,159
7569,L54748,L,300.2,311.0,1627,33.7,147
3680,L50859,L,302.2,311.5,1725,34.0,170
2072,M16931,M,299.7,309.6,1313,60.0,186
9639,H39052,H,299.3,310.4,1393,44.9,162
7962,L55141,L,301.0,312.2,1264,59.0,57
7860,M22719,M,300.5,311.9,1370,44.8,20
6627,L53806,L,301.6,310.6,1613,42.5,97
8040,L55219,L,300.8,311.9,1560,31.8,21
1018,L48197,L,296.3,307.2,1637,31.6,27
2861,H32274,H,300.6,309.4,1463,49.2,235
6717,L53896,L,301.3,310.6,1387,53.6,94
2817,L49996,L,300.1,309.4,1434,47.3,127
7253,H36666,H,300.2,310.4,1501,42.9,212
1948,L49127,L,298.2,308.1,1462,49.9,69
8280,L55459,L,298.8,310.6,1803,25.4,209
4438,L51617,L,302.4,310.2,1578,31.2,139
5959,L53138,L,300.6,310.8,1533,38.5,117
7684,L54863,L,300.7,311.7,1524,43.5,222
454,L47633,L,297.4,308.7,1510,36.2,92
8731,H38144,H,297.3,308.7,1569,33.9,93
1593,L48772,L,298.1,308.4,1592,38.2,211
1775,M16634,M,298.5,308.0,1519,37.3,29
7803,L54982,L,299.9,311.3,1429,58.2,103
3061,L50240,L,300.0,309.1,1882,23.8,84
8766,L55945,L,297.4,308.8,1353,49.4,188
5810,H35223,H,301.3,311.0,1580,36.6,184
9014,H38427,H,297.2,308.0,1435,43.0,202
9658,L56837,L,299.0,310.0,1484,39.6,212
8301,L55480,L,298.7,310.1,1558,37.6,44
3127,L50306,L,300.0,309.4,1499,35.7,46
4958,M19817,M,303.8,312.6,1768,23.9,149
9445,L56624,L,298.1,308.9,2136,15.9,78
8861,M23720,M,297.9,309.1,1488,37.3,30
1175,M16034,M,297.1,308.1,1352,44.4,0
6602,M21461,M,301.5,310.7,1347,47.9,29
7343,M22202,M,299.7,310.3,1661,34.5,6
5056,H34469,H,303.8,312.9,1378,45.6,184
654,L47833,L,297.8,309.3,2015,20.1,161
6264,M21123,M,301.0,310.6,1698,27.3,14
6775,H36188,H,301.2,310.7,1747,27.3,35
9787,M24646,M,298.7,309.6,1738,27.3,79
462,L47641,L,297.4,308.7,1402,40.2,114
9292,L56471,L,298.2,309.0,1353,57.8,89
9688,M24547,M,299.1,310.1,1649,31.6,41
5388,L52567,L,302.8,312.2,1433,50.0,216
5492,M20351,M,302.7,312.2,1350,58.6,2
9965,L57144,L,298.3,307.9,1766,26.5,145
6671,L53850,L,301.5,310.6,1998,20.2,210
9746,L56925,L,298.8,310.0,1611,32.4,183
6379,L53558,L,300.0,309.6,1514,44.6,98
7676,L54855,L,300.5,311.6,1447,45.4,204
138,L47317,L,298.7,308.6,1297,55.3,148
9010,L56189,L,297.3,307.9,1579,34.4,193
576,M15435,M,297.9,309.9,1410,55.4,188
3714,L50893,L,302.3,311.5,1565,35.6,41
2874,H32287,H,300.6,309.4,1555,37.9,24
5404,L52583,L,302.7,312.3,1858,25.4,2
8036,L55215,L,300.7,311.7,1910,19.7,13
7708,H37121,H,300.5,311.4,1679,27.5,59
2955,H32368,H,300.6,309.4,1691,28.0,36
1295,L48474,L,298.8,309.9,1486,40.3,126
4861,M19720,M,303.6,312.4,1504,49.5,109
2066,L49245,L,299.7,309.6,1419,45.1,170
7057,M21916,M,300.8,310.5,1409,50.6,141
861,H30274,H,296.1,306.9,1541,32.6,33
3151,L50330,L,300.4,309.8,1513,32.9,117
5601,L52780,L,302.8,312.1,1487,36.6,84
4091,L51270,L,302.0,310.5,2197,15.8,133
3588,H33001,H,301.8,310.5,1478,38.6,141
8215,L55394,L,299.2,310.5,1391,45.8,38
3974,L51153,L,302.3,311.4,1535,41.8,77
8514,M23373,M,298.2,309.5,1478,36.5,182
9293,L56472,L,298.2,309.0,1643,34.1,91
6525,L53704,L,301.1,310.4,1874,24.8,47
5940,L53119,L,300.5,310.5,1409,60.9,73
5201,L52380,L,303.8,312.8,1416,58.7,156
9039,L56218,L,297.3,308.3,2358,14.9,49
1605,L48784,L,297.8,307.8,1452,39.8,21
8833,L56012,L,297.4,308.8,1651,34.1,163
7638,H37051,H,300.4,311.4,1445,52.4,105
6075,M20934,M,301.0,310.8,1533,39.3,194
445,L47624,L,297.4,308.4,1582,37.2,68
6191,L53370,L,300.9,310.9,1749,26.4,40
3343,L50522,L,301.5,310.8,1382,52.4,165
3783,L50962,L,302.2,310.8,1827,23.8,9
4637,L51816,L,303.0,311.3,1466,43.0,210
3290,M18149,M,301.2,310.1,1295,56.6,39
3429,L50608,L,301.6,310.6,1391,49.4,164
2381,L49560,L,299.0,308.1,1242,60.9,117
8790,L55969,L,297.4,308.5,1471,43.9,45
4615,H34028,H,303.0,311.2,1503,37.0,152
5324,M20183,M,303.4,312.7,1399,48.4,34
295,M15154,M,298.1,308.5,1372,51.1,116
1025,L48204,L,296.2,307.3,1711,29.9,42
5689,M20548,M,302.3,311.7,1423,44.6,93
8118,L55297,L,300.3,311.7,1406,47.5,14
7554,L54733,L,300.3,311.3,1505,39.6,107
8748,L55927,L,297.3,308.5,1504,42.0,142
7649,L54828,L,300.4,311.4,1552,28.8,135
2327,M17186,M,299.4,308.7,1487,52.6,205
5714,L52893,L,302.2,311.9,1596,38.0,156
3218,L50397,L,300.6,309.5,2025,21.4,64
2403,L49582,L,299.2,308.7,1325,51.0,171
5161,L52340,L,304.1,313.2,1434,50.1,43
6916,L54095,L,301.0,311.4,1484,36.2,188
6408,M21267,M,300.3,309.9,1611,29.0,177
7212,L54391,L,299.8,309.7,1431,40.3,101
2449,L49628,L,299.4,308.9,1440,42.5,87
5921,L53100,L,300.5,310.2,1764,25.9,27
5426,L52605,L,302.5,312.2,1775,27.9,56
9678,L56857,L,299.0,310.1,2033,19.3,15
3748,L50927,L,302.5,311.1,1499,38.8,135
7936,M22795,M,300.8,311.9,1356,44.3,214
4022,H33435,H,302.1,310.9,1452,42.5,198
2044,M16903,M,299.2,309.0,1597,30.3,115
3817,L50996,L,302.1,310.6,1459,47.6,93
3848,M18707,M,302.3,311.0,1450,45.7,175
8811,M23670,M,297.3,308.5,1625,32.8,92
4058,L51237,L,302.0,310.9,1495,38.6,52
312,M15171,M,298.0,308.6,1453,44.1,165
7654,L54833,L,300.4,311.5,1492,44.6,149
1369,H30782,H,298.8,310.3,1708,27.1,78
4886,H34299,H,303.8,312.5,1748,25.1,175
2386,L49565,L,299.1,308.3,1524,34.1,128
7680,L54859,L,300.7,311.7,1635,32.4,213
6788,H36201,H,301.1,310.6,1388,58.5,68
5405,H34818,H,302.8,312.5,1422,46.1,4
363,H29776,H,297.6,308.3,1640,30.9,79
4565,L51744,L,302.8,310.8,1516,39.5,23
177,L47356,L,298.2,308.1,1618,34.7,39
1433,L48612,L,298.8,309.8,1437,42.8,23
2142,M17001,M,299.3,308.9,1577,34.9,160
3173,M18032,M,300.3,309.6,1488,41.3,172
987,H30400,H,296.4,307.1,1638,32.5,146
4889,L52068,L,303.7,312.4,1512,39.2,184
8336,M23195,M,299.0,309.8,2240,15.9,144
9946,L57125,L,298.3,308.0,1578,37.8,101
2141,L49320,L,299.3,309.0,1419,46.6,158
7628,L54807,L,300.5,311.7,1445,44.8,83
8394,L55573,L,298.5,309.5,1428,43.5,87
8757,L55936,L,297.5,308.7,1761,26.2,164
7811,L54990,L,300.1,311.5,2218,17.0,123
8165,L55344,L,299.6,310.9,1472,40.9,137
5156,H34569,H,304.2,313.3,1625,37.3,27
3646,L50825,L,302.2,311.5,1413,43.5,83
2157,M17016,M,299.4,308.9,1457,41.5,201
6596,M21455,M,301.5,310.7,1460,38.6,14
3230,L50409,L,300.6,309.4,1442,43.2,96
9801,H39214,H,298.5,309.3,1421,50.3,124
7158,L54337,L,300.2,310.0,1486,40.1,182
6002,M20861,M,300.4,310.2,1380,47.3,5
8510,M23369,M,298.4,309.7,1870,22.5,170
7880,M22739,M,300.8,312.3,1535,40.3,71
9442,L56621,L,298.1,308.8,1432,43.4,68
1491,L48670,L,298.2,309.0,1341,43.8,171
460,L47639,L,297.4,308.6,1476,42.3,107
3574,L50753,L,301.8,310.6,1452,48.4,110
8883,L56062,L,298.0,309.2,1378,49.7,94
1951,M16810,M,298.0,307.9,1479,47.6,76
2325,L49504,L,299.3,308.8,1636,29.9,201
737,L47916,L,296.9,308.3,1555,38.2,175
1591,L48770,L,298.2,308.4,1497,37.7,207
4933,L52112,L,303.3,312.1,1418,44.7,83
5437,M20296,M,302.9,312.5,1679,30.9,79
4198,L51377,L,302.4,311.0,1573,36.5,193
15,L47194,L,298.6,309.2,2035,19.6,40
5719,L52898,L,302.4,312.0,1621,32.5,169
7695,H37108,H,300.6,311.7,1500,36.7,17
9062,M23921,M,297.2,308.4,1863,26.0,110
3847,L51026,L,302.3,310.9,1403,47.2,173
1043,L48222,L,296.6,307.6,1542,37.4,88
1388,L48567,L,298.9,310.1,1823,26.1,131
4300,L51479,L,301.7,310.1,1402,50.1,3
3062,L50241,L,300.1,309.1,1353,58.7,86
7140,L54319,L,300.6,310.1,1495,42.3,132
1087,L48266,L,297.0,307.9,1455,49.0,204
8225,L55404,L,299.1,310.5,1496,35.2,60
8697,L55876,L,297.2,308.6,1413,49.8,12
2510,L49689,L,299.0,308.9,1511,35.9,16
2484,M17343,M,298.9,308.7,1402,49.8,167
6136,L53315,L,301.0,310.9,1740,28.9,129
8072,L55251,L,300.5,312.0,1646,29.5,106
5468,L52647,L,302.9,312.4,1383,51.4,160
1537,M16396,M,298.2,308.9,1326,54.4,75
1372,M16231,M,298.7,310.3,1495,38.7,88
9153,L56332,L,297.5,308.6,1260,53.6,137
7834,L55013,L,300.0,311.4,1604,38.7,185
2535,L49714,L,298.9,308.7,1729,26.6,73
641,M15500,M,297.9,309.6,1515,38.8,124
8544,M23403,M,298.5,309.4,1365,48.7,56
8590,M23449,M,297.3,307.8,1538,48.0,171
7368,M22227,M,299.5,310.1,1359,61.1,67
778,L47957,L,296.7,307.8,1382,47.5,37
6015,H35428,H,300.8,310.8,1618,32.8,40
50,M14909,M,298.9,309.2,1412,44.1,140
4915,M19774,M,303.5,312.3,1532,41.7,32
7937,L55116,L,300.8,311.7,1490,46.4,217
6097,M20956,M,300.8,310.7,1483,40.8,28
4855,L52034,L,303.7,312.2,1568,33.8,96
8491,M23350,M,298.5,309.6,1364,58.7,123
3268,L50447,L,301.3,310.0,1550,41.5,197
2860,L50039,L,300.6,309.4,1549,43.4,233
2882,M17741,M,300.6,309.6,1588,37.0,50
7921,L55100,L,300.8,312.0,1382,49.3,177
1532,H30945,H,298.1,309.0,1438,41.4,60
773,H30186,H,296.8,308.0,1453,51.0,24
410,L47589,L,297.4,308.6,1459,41.3,196
9968,M24827,M,298.3,307.9,1609,32.4,151
1451,M16310,M,299.0,310.3,1447,39.9,78
7872,L55051,L,300.6,312.2,1308,54.7,52
1248,L48427,L,297.2,308.5,1513,42.9,212
4169,L51348,L,302.2,310.6,1632,30.5,122
7251,M22110,M,300.1,310.2,1429,42.0,206
1645,L48824,L,298.0,307.8,1622,33.3,121
4112,M18971,M,302.0,310.6,1563,41.0,184
7632,L54811,L,300.5,311.6,1444,49.3,92
3533,L50712,L,301.9,310.9,1486,40.3,6
483,L47662,L,297.3,309.0,1548,37.4,171
3047,M17906,M,300.2,309.4,1501,40.0,48
3287,L50466,L,301.2,310.0,1618,37.6,32
2653,L49832,L,299.9,309.5,1772,23.5,167
3770,M18629,M,302.2,311.0,1436,47.0,187
9111,M23970,M,297.6,308.6,1389,49.0,34
4585,L51764,L,302.8,311.1,1550,32.3,76
9986,H39399,H,298.7,308.5,1572,35.6,202
8709,M23568,M,297.2,308.5,1364,54.0,43
8708,L55887,L,297.2,308.5,1471,41.7,41
8229,M23088,M,299.1,310.4,1422,49.3,69
4790,L51969,L,303.8,312.8,1646,35.8,143
6530,L53709,L,301.3,310.6,1481,40.9,57
4298,M19157,M,301.8,310.2,1609,34.2,217
5513,L52692,L,302.8,312.2,1682,30.9,58
2831,M17690,M,300.4,309.3,1411,41.6,160
879,M15738,M,295.7,306.3,1685,34.9,84
7180,L54359,L,300.2,310.1,1523,42.3,25
5599,L52778,L,302.8,312.1,1441,52.1,79
2686,L49865,L,299.8,309.4,1609,32.5,27
2159,M17018,M,299.5,309.0,1399,49.7,207
706,L47885,L,297.7,309.0,1507,38.2,94
7650,H37063,H,300.4,311.5,1662,29.0,137
6299,L53478,L,301.1,310.5,1428,44.1,103
6358,L53537,L,300.2,309.8,1398,54.8,39
9683,L56862,L,299.1,310.0,1394,46.6,27
977,M15836,M,296.0,306.6,1392,51.3,124
1255,H30668,H,297.5,308.8,1430,49.4,2
7580,L54759,L,300.4,311.2,1436,56.8,173
3666,M18525,M,302.4,311.8,1358,50.6,133
9555,M24414,M,299.3,310.7,1440,45.5,146
3655,L50834,L,302.1,311.4,1603,35.9,104
6022,L53201,L,300.7,310.8,1814,21.4,59
7835,L55014,L,300.0,311.4,1483,45.6,187
9233,L56412,L,298.2,309.1,1350,52.0,136
9400,L56579,L,297.8,308.3,1477,44.8,170
3712,L50891,L,302.2,311.5,1543,38.5,37
4899,H34312,H,303.6,312.4,1460,53.7,214
4639,L51818,L,303.1,311.3,1474,34.8,215
7171,M22030,M,300.3,310.2,1442,39.5,4
8892,M23751,M,297.7,308.9,1681,28.3,116
8223,L55402,L,299.0,310.5,1755,27.9,56
8551,L55730,L,298.3,309.2,1456,45.5,75
3194,L50373,L,300.0,309.1,1401,44.5,0
8902,L56081,L,297.3,308.6,1446,50.1,144
6990,M21849,M,300.7,311.1,1608,35.3,167
8650,L55829,L,297.4,308.4,1328,61.8,98
3820,L50999,L,302.2,310.7,1567,36.4,100
1072,L48251,L,296.9,307.8,1425,49.1,163
9531,H38944,H,299.1,310.4,1405,53.6,86
2868,H32281,H,300.7,309.6,1390,48.5,7
472,H29885,H,297.3,308.8,1419,42.4,139
9923,H39336,H,298.6,308.8,1566,39.1,36
8260,L55439,L,299.1,310.5,1471,38.4,146
9121,L56300,L,297.4,308.4,1525,38.7,62
1209,L48388,L,297.0,308.1,1489,44.1,96
4232,L51411,L,302.2,310.8,1340,47.8,54
3980,L51159,L,302.3,311.3,1439,41.8,96
4110,M18969,M,301.9,310.6,1475,47.8,179
4517,L51696,L,302.5,310.3,1539,39.0,119
6161,L53340,L,301.0,310.9,1570,34.0,192
1219,M16078,M,297.0,308.2,1702,30.7,124
7127,M21986,M,300.6,310.0,1542,33.9,100
91,L47270,L,298.9,308.9,1753,25.8,33
9898,L57077,L,298.8,309.3,1357,47.1,176
8566,L55745,L,298.0,308.8,1489,36.5,109
1957,M16816,M,297.9,307.7,1364,46.8,89
9283,M24142,M,298.2,308.9,1414,44.3,68
502,M15361,M,297.6,309.3,1464,46.2,218
3088,M17947,M,300.0,309.1,1474,45.2,152
2181,H31594,H,299.6,309.2,1597,36.3,35
2559,M17418,M,299.2,309.0,1881,23.9,137
2103,L49282,L,299.3,309.3,1325,62.0,47
757,L47936,L,296.8,308.0,1584,40.4,227
9018,M23877,M,297.3,308.1,1369,52.0,214
6220,H35633,H,301.1,310.6,1407,43.9,111
6557,L53736,L,301.5,310.7,1686,27.9,135
5244,L52423,L,303.7,313.1,1721,34.8,50
7260,M22119,M,300.4,310.5,1500,43.0,9
1908,L49087,L,297.9,307.6,1504,42.4,180
4810,L51989,L,303.4,312.2,1656,32.7,195
740,L47919,L,296.9,308.4,1390,41.8,184
393,M15252,M,297.6,308.5,1490,43.4,154
8503,H37916,H,298.6,309.8,1279,55.9,152
1658,M16517,M,298.1,308.0,1374,48.8,156
4142,H33555,H,301.7,310.1,1462,38.3,49
4294,L51473,L,301.8,310.0,1393,44.9,208
5759,L52938,L,301.9,311.3,1501,40.8,59
8711,L55890,L,297.1,308.5,1712,32.1,48
7853,L55032,L,300.3,311.7,1515,37.5,5
2344,L49523,L,299.1,308.3,1305,61.4,17
584,H29997,H,297.7,309.6,1697,32.2,210
9813,M24672,M,298.2,309.1,1411,45.8,157
3208,M18067,M,300.2,309.0,1642,31.2,37
1064,M15923,M,296.8,307.8,1664,32.8,142
6629,L53808,L,301.6,310.5,1593,34.5,102
2631,L49810,L,300.0,309.8,1372,39.6,105
6783,L53962,L,301.3,310.8,1531,53.4,57
1742,M16601,M,298.5,308.0,1363,49.2,149
8710,L55889,L,297.1,308.5,1578,35.6,46
2444,L49623,L,299.1,308.5,1647,35.0,74
9222,M24081,M,297.8,309.0,1675,30.0,110
5403,L52582,L,302.7,312.3,1421,48.5,0
5040,H34453,H,304.1,313.3,1689,32.5,134
6987,L54166,L,300.7,311.1,1688,30.7,161
2039,L49218,L,299.0,308.8,1405,55.2,103
7581,L54760,L,300.4,311.3,1495,51.2,175
214,L47393,L,298.4,308.7,1386,44.9,135
5613,L52792,L,303.0,312.3,1486,42.4,112
3618,L50797,L,301.8,311.0,1529,41.6,12
4755,M19614,M,303.3,311.5,1384,54.8,48
9429,H38842,H,298.2,308.8,1837,28.4,34
5152,L52331,L,304.3,313.6,1409,56.0,19
4240,L51419,L,302.3,311.0,1446,37.6,75
2184,M17043,M,299.6,309.3,1577,39.8,48
2010,M16869,M,298.6,308.3,1717,28.7,29
5690,L52869,L,302.4,311.8,1543,31.1,96
3205,L50384,L,300.1,309.0,1404,54.8,29
1479,L48658,L,298.3,309.4,1568,35.8,140
8899,L56078,L,297.4,308.6,1532,38.7,136
501,M15360,M,297.5,309.2,1804,27.4,215
1738,L48917,L,298.4,307.9,1743,27.3,134
8176,M23035,M,299.9,311.3,1445,41.2,169
9383,L56562,L,297.5,308.2,1610,33.6,115
2340,L49519,L,299.2,308.2,1466,41.3,8
8908,M23767,M,297.2,308.6,1404,43.7,160
2276,L49455,L,299.3,308.6,1605,37.0,78
5387,L52566,L,302.9,312.2,1469,42.0,214
1800,M16659,M,298.0,307.5,1427,45.1,95
1306,L48485,L,298.8,310.0,1672,30.4,150
3754,L50933,L,302.2,311.0,1463,46.8,150
1912,M16771,M,298.1,307.8,1316,57.2,191
5611,L52790,L,303.1,312.4,1407,41.2,107
7045,M21904,M,300.7,310.6,1505,35.6,105
6899,M21758,M,301.0,311.6,1448,43.9,145
5003,L52182,L,303.7,312.8,1627,31.7,40
6502,M21361,M,300.9,310.0,1600,36.0,204
1258,L48437,L,297.5,308.9,1466,43.0,15
8632,H38045,H,297.3,308.3,1506,37.0,54
5520,L52699,L,302.5,311.9,1452,47.4,77
2437,H31850,H,299.0,308.2,1662,30.4,55
3503,M18362,M,301.8,310.9,1346,44.6,142
2328,M17187,M,299.3,308.7,1420,50.3,208
3438,L50617,L,301.5,310.5,2297,15.8,191
6957,M21816,M,300.8,311.2,1434,39.1,82
5631,M20490,M,302.8,312.2,1615,32.9,159
8934,M23793,M,297.3,308.3,1544,41.7,6
3388,M18247,M,301.6,310.8,1290,65.3,63
832,M15691,M,296.6,307.4,1544,42.3,170
7974,L55153,L,301.1,312.3,1682,29.7,83
1609,L48788,L,297.8,307.7,1393,38.0,29
9164,L56343,L,297.6,308.6,1415,47.3,169
700,H30113,H,297.5,308.7,1416,39.2,74
9054,M23913,M,297.4,308.5,1638,32.2,84
427,L47606,L,297.4,308.5,1501,44.9,20
8485,L55664,L,298.4,309.5,1397,50.3,110
8802,L55981,L,297.4,308.6,1488,36.4,71
3513,M18372,M,301.8,311.0,1393,49.5,168
