udi,product_id,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type
172,L47351,L,298.2,308.1,1462,50.8,27,No Failure
174,M15033,M,298.2,308.0,1591,33.7,32,No Failure
175,L47354,L,298.2,308.1,1306,58.3,35,No Failure
176,L47355,L,298.2,308.1,1382,43.5,37,No Failure
178,L47357,L,298.2,308.2,1988,21.4,41,No Failure
179,L47358,L,298.2,308.2,1436,50.2,43,No Failure
180,L47359,L,298.2,308.3,1304,49.8,45,No Failure
181,L47360,L,298.2,308.3,1475,49.9,47,No Failure
182,H29595,H,298.2,308.3,1824,24.2,49,No Failure
183,M15042,M,298.1,308.2,1342,48.1,54,No Failure
184,L47363,L,298.1,308.2,1485,40.7,57,No Failure
185,L47364,L,298.2,308.2,1667,30.6,59,No Failure
189,L47368,L,298.3,308.5,1606,33.6,67,No Failure
192,L47371,L,298.2,308.4,1666,34.6,74,No Failure
193,H29606,H,298.2,308.4,1398,51.8,76,No Failure
194,H29607,H,298.2,308.4,1678,34.6,81,No Failure
198,M15057,M,298.4,308.6,1527,40.9,96,No Failure
200,L47379,L,298.4,308.6,1433,47.1,101,No Failure
201,L47380,L,298.4,308.6,1609,35.0,103,No Failure
202,L47381,L,298.3,308.5,1575,41.2,105,No Failure
204,L47383,L,298.4,308.5,1490,37.9,110,No Failure
205,L47384,L,298.4,308.5,1741,32.8,112,No Failure
208,M15067,M,298.4,308.7,1421,60.7,119,Power Failure
211,L47390,L,298.4,308.7,1523,36.1,126,No Failure
215,M15074,M,298.3,308.6,1589,37.1,137,No Failure
218,L47397,L,298.3,308.5,1664,31.6,144,No Failure
220,M15079,M,298.3,308.5,1434,46.2,148,No Failure
221,L47400,L,298.3,308.5,1416,52.7,151,No Failure
223,L47402,L,298.4,308.6,1304,45.0,158,No Failure
224,L47403,L,298.4,308.6,1569,34.4,160,No Failure
225,L47404,L,298.3,308.6,1584,29.3,162,No Failure
226,L47405,L,298.3,308.5,1362,53.8,164,No Failure
227,L47406,L,298.3,308.4,1329,49.2,166,No Failure
230,L47409,L,298.3,308.5,1538,32.2,173,No Failure
231,L47410,L,298.3,308.6,1570,34.8,175,No Failure
232,L47411,L,298.3,308.4,1408,43.1,177,No Failure
233,L47412,L,298.2,308.4,1424,47.6,179,No Failure
234,L47413,L,298.2,308.4,1512,34.9,181,No Failure
235,L47414,L,298.2,308.4,1478,42.9,183,No Failure
236,M15095,M,298.1,308.3,1680,33.7,185,No Failure
237,L47416,L,298.1,308.3,1495,38.7,188,No Failure
238,M15097,M,298.0,308.1,1552,36.6,190,No Failure
239,L47418,L,297.9,308.1,1393,50.3,193,No Failure
240,L47419,L,298.0,308.2,1611,30.6,195,No Failure
241,M15100,M,298.0,308.1,1339,51.6,197,No Failure
242,L47421,L,298.0,308.1,1777,24.3,200,No Failure
245,M15104,M,298.0,308.2,1395,49.1,206,No Failure
246,M15105,M,297.9,308.1,1627,31.4,209,No Failure
247,L47426,L,297.9,308.1,1585,33.5,212,No Failure
248,L47427,L,298.0,308.2,1469,45.5,214,No Failure
250,L47429,L,298.0,308.3,1405,56.2,218,Overstrain Failure
251,L47430,L,298.0,308.3,1662,32.7,0,No Failure
252,M15111,M,298.0,308.2,1466,42.6,2,No Failure
254,L47433,L,298.0,308.2,1357,48.2,7,No Failure
255,L47434,L,298.0,308.2,1514,37.9,9,No Failure
256,L47435,L,298.0,308.2,1489,40.4,11,No Failure
257,L47436,L,298.1,308.3,1331,63.0,13,No Failure
258,L47437,L,298.0,308.0,1615,29.5,15,No Failure
260,M15119,M,298.1,308.2,1420,63.9,19,Power Failure
263,M15122,M,298.1,308.2,1736,26.8,27,No Failure
265,L47444,L,298.1,308.2,1390,47.5,33,No Failure
266,L47445,L,298.0,308.1,1454,37.1,35,No Failure
268,L47447,L,297.9,308.0,1954,21.1,42,No Failure
269,H29682,H,297.9,308.0,1800,24.8,44,No Failure
270,L47449,L,298.0,308.0,1524,37.0,49,No Failure
271,H29684,H,298.0,308.0,1520,39.6,51,No Failure
272,M15131,M,298.1,308.1,1452,40.8,56,No Failure
273,L47452,L,298.1,308.1,1484,40.4,59,No Failure
274,L47453,L,298.1,308.0,1426,46.0,61,No Failure
275,L47454,L,298.1,308.0,1652,28.5,63,No Failure
277,M15136,M,298.0,307.9,1750,26.6,67,No Failure
278,H29691,H,298.0,308.0,1479,50.7,70,No Failure
279,M15138,M,298.0,308.0,1620,29.4,75,No Failure
280,L47459,L,298.0,308.1,1819,23.4,78,No Failure
281,M15140,M,298.1,308.1,1456,43.7,80,No Failure
283,M15142,M,298.1,308.1,1390,49.8,85,No Failure
284,L47463,L,298.2,308.2,1469,43.0,88,No Failure
286,L47465,L,298.2,308.3,1568,36.0,92,No Failure
287,L47466,L,298.2,308.3,1589,33.2,94,No Failure
289,H29702,H,298.2,308.4,1385,42.2,98,No Failure
291,L47470,L,298.1,308.4,1438,45.6,105,No Failure
292,L47471,L,298.0,308.3,1473,42.6,107,No Failure
293,L47472,L,298.1,308.4,1335,40.2,109,No Failure
294,H29707,H,298.1,308.5,1392,44.8,111,No Failure
296,M15155,M,298.1,308.6,1716,30.7,119,No Failure
297,L47476,L,298.0,308.5,1395,46.2,122,No Failure
298,L47477,L,298.0,308.5,1713,25.3,124,No Failure
299,H29712,H,297.9,308.5,2129,18.7,126,No Failure
300,M15159,M,297.8,308.3,1567,35.6,131,No Failure
301,L47480,L,297.8,308.4,1622,38.3,134,No Failure
303,H29716,H,297.8,308.4,1512,35.1,138,No Failure
304,M15163,M,297.8,308.4,1479,43.5,143,No Failure
305,L47484,L,297.8,308.4,1737,27.5,146,No Failure
306,L47485,L,297.8,308.4,2129,19.2,148,No Failure
307,L47486,L,297.8,308.4,1374,47.1,150,No Failure
308,M15167,M,297.8,308.4,1579,36.6,152,No Failure
310,M15169,M,297.9,308.5,1449,40.8,157,No Failure
311,H29724,H,298.0,308.6,1526,41.8,160,No Failure
314,L47493,L,298.0,308.6,1313,50.8,170,No Failure
315,M15174,M,297.9,308.5,1300,53.0,172,No Failure
316,L47495,L,297.9,308.4,1646,40.6,175,No Failure
318,L47497,L,297.8,308.4,1685,28.4,179,No Failure
320,L47499,L,297.8,308.4,1612,32.1,183,No Failure
323,L47502,L,297.8,308.5,1448,40.0,192,No Failure
326,L47505,L,297.8,308.5,1699,27.8,199,No Failure
327,L47506,L,297.7,308.5,1501,41.4,201,No Failure
328,L47507,L,297.7,308.5,1373,56.7,203,Overstrain Failure
329,H29742,H,297.6,308.4,1703,31.4,205,No Failure
331,M15190,M,297.6,308.4,1398,41.9,215,No Failure
332,M15191,M,297.6,308.4,1391,51.9,218,No Failure
333,M15192,M,297.6,308.3,1538,40.2,0,No Failure
334,L47513,L,297.5,308.2,1647,31.3,3,No Failure
335,M15194,M,297.5,308.1,1469,44.8,5,No Failure
336,L47515,L,297.4,308.1,1749,25.9,8,No Failure
337,M15196,M,297.6,308.2,1995,20.5,10,No Failure
339,L47518,L,297.5,308.2,1563,38.2,15,No Failure
341,L47520,L,297.4,308.1,1474,39.4,20,No Failure
342,M15201,M,297.4,308.2,1530,32.6,22,No Failure
343,L47522,L,297.4,308.2,1471,46.5,25,No Failure
344,L47523,L,297.5,308.3,1388,48.6,27,No Failure
345,M15204,M,297.5,308.2,2448,13.8,29,No Failure
347,M15206,M,297.5,308.3,1459,45.2,34,No Failure
348,L47527,L,297.5,308.3,1544,40.8,37,No Failure
350,L47529,L,297.6,308.3,1595,34.3,41,No Failure
351,H29764,H,297.6,308.3,1400,44.3,43,No Failure
353,M15212,M,297.6,308.4,1507,46.0,51,No Failure
355,L47534,L,297.6,308.3,1658,34.3,59,No Failure
357,M15216,M,297.6,308.4,1398,48.9,63,No Failure
358,L47537,L,297.6,308.4,1517,34.2,66,No Failure
359,M15218,M,297.6,308.3,1467,36.7,68,No Failure
361,M15220,M,297.5,308.3,1521,38.2,74,No Failure
362,L47541,L,297.5,308.3,1596,36.8,77,No Failure
364,L47543,L,297.6,308.3,1438,47.8,84,No Failure
365,L47544,L,297.6,308.4,1407,55.2,86,No Failure
366,L47545,L,297.6,308.4,1353,57.5,88,No Failure
367,M15226,M,297.6,308.5,1552,40.9,90,No Failure
368,M15227,M,297.6,308.4,1569,38.3,93,No Failure
369,L47548,L,297.5,308.4,1489,39.5,96,No Failure
370,H29783,H,297.5,308.4,1587,36.1,98,No Failure
372,L47551,L,297.5,308.4,1604,38.1,106,No Failure
373,M15232,M,297.4,308.3,1405,51.7,108,No Failure
377,M15236,M,297.4,308.2,1401,51.9,117,No Failure
378,M15237,M,297.4,308.2,1424,53.9,120,No Failure
379,L47558,L,297.3,308.2,1754,29.4,123,No Failure
380,L47559,L,297.3,308.2,1754,26.8,125,No Failure
381,L47560,L,297.5,308.3,2564,12.8,127,Power Failure
385,L47564,L,297.5,308.5,1712,26.8,136,No Failure
386,M15245,M,297.6,308.6,1414,45.4,138,No Failure
387,L47566,L,297.6,308.7,1319,50.9,141,No Failure
388,L47567,L,297.7,308.7,1249,60.4,143,No Failure
391,L47570,L,297.6,308.7,1460,46.7,150,No Failure
392,L47571,L,297.6,308.6,1491,38.1,152,No Failure
394,M15253,M,297.5,308.4,1350,52.2,157,No Failure
395,L47574,L,297.5,308.4,1528,39.9,160,No Failure
396,L47575,L,297.4,308.3,1571,37.7,162,No Failure
397,L47576,L,297.4,308.3,1490,42.6,164,No Failure
398,M15257,M,297.4,308.3,1774,28.9,166,No Failure
402,L47581,L,297.5,308.5,1722,30.4,178,No Failure
403,L47582,L,297.4,308.6,1678,32.3,180,No Failure
404,L47583,L,297.3,308.6,1273,59.8,182,No Failure
405,L47584,L,297.3,308.6,1297,45.9,184,No Failure
406,L47585,L,297.3,308.5,1350,57.6,186,No Failure
407,L47586,L,297.4,308.6,1439,51.9,188,No Failure
408,M15267,M,297.4,308.5,1600,42.1,190,No Failure
411,M15270,M,297.5,308.6,1472,44.9,198,No Failure
413,L47592,L,297.5,308.6,1388,48.2,203,No Failure
414,L47593,L,297.4,308.4,1573,34.5,205,No Failure
415,L47594,L,297.4,308.4,1588,32.5,207,No Failure
416,L47595,L,297.5,308.4,1511,42.8,209,No Failure
418,L47597,L,297.4,308.4,1394,50.1,213,No Failure
419,L47598,L,297.4,308.4,2151,17.7,0,No Failure
420,M15279,M,297.3,308.3,1501,38.2,2,No Failure
421,M15280,M,297.3,308.3,1301,39.6,5,No Failure
422,M15281,M,297.3,308.3,1657,31.1,8,No Failure
423,L47602,L,297.3,308.3,1333,55.2,11,No Failure
424,L47603,L,297.3,308.3,1484,43.9,13,No Failure
425,L47604,L,297.3,308.4,1430,45.7,15,No Failure
426,M15285,M,297.3,308.4,1665,28.9,17,No Failure
429,M15288,M,297.6,308.6,1595,36.9,25,No Failure
430,L47609,L,297.5,308.6,1208,62.3,28,No Failure
431,L47610,L,297.5,308.6,1596,37.1,30,No Failure
432,L47611,L,297.5,308.5,1446,41.9,32,No Failure
433,M15292,M,297.6,308.5,1466,39.7,34,No Failure
434,M15293,M,297.6,308.5,1848,23.7,37,No Failure
437,L47616,L,297.3,308.3,1504,36.3,45,No Failure
438,L47617,L,297.3,308.3,1538,38.5,47,No Failure
439,L47618,L,297.4,308.4,1341,52.2,49,No Failure
442,H29855,H,297.5,308.5,1393,46.6,56,No Failure
444,H29857,H,297.4,308.5,1469,45.1,63,No Failure
447,L47626,L,297.5,308.6,1452,39.0,72,No Failure
448,M15307,M,297.6,308.7,1376,59.9,74,No Failure
449,L47628,L,297.5,308.6,1552,44.9,77,No Failure
450,L47629,L,297.6,308.7,1622,37.9,79,No Failure
452,H29865,H,297.5,308.6,1440,46.1,84,No Failure
453,M15312,M,297.4,308.6,1643,31.0,89,No Failure
455,L47634,L,297.4,308.7,1468,46.6,94,No Failure
456,L47635,L,297.4,308.7,1429,57.4,96,No Failure
458,L47637,L,297.4,308.6,1276,53.6,103,No Failure
459,L47638,L,297.3,308.6,1486,42.6,105,No Failure
464,L47643,L,297.4,308.7,2874,4.2,118,Power Failure
465,L47644,L,297.3,308.6,1511,35.7,120,No Failure
466,M15325,M,297.3,308.6,1456,42.9,122,No Failure
467,L47646,L,297.2,308.5,1550,41.5,125,No Failure
469,L47648,L,297.3,308.7,1619,31.6,129,No Failure
471,H29884,H,297.3,308.8,1499,44.2,134,No Failure
473,M15332,M,297.4,309.0,1497,41.8,144,No Failure
474,M15333,M,297.4,309.0,1520,37.0,147,No Failure
476,L47655,L,297.4,309.1,1380,41.1,152,No Failure
477,L47656,L,297.4,309.0,1570,37.9,154,No Failure
478,H29891,H,297.4,309.0,1468,41.4,156,No Failure
479,L47658,L,297.4,309.0,1833,22.6,161,No Failure
480,M15339,M,297.4,308.9,1323,57.3,163,No Failure
481,L47660,L,297.4,309.0,1583,32.0,166,No Failure
482,M15341,M,297.3,309.0,1556,39.5,168,No Failure
486,M15345,M,297.4,309.0,1685,30.7,177,No Failure
487,M15346,M,297.4,309.1,1582,35.9,180,No Failure
490,M15349,M,297.5,309.2,1347,55.8,188,No Failure
491,L47670,L,297.4,309.2,1459,37.9,191,No Failure
492,L47671,L,297.4,309.2,1420,45.6,193,No Failure
493,L47672,L,297.5,309.3,1404,43.5,195,No Failure
494,L47673,L,297.5,309.3,1470,38.8,197,No Failure
495,L47674,L,297.6,309.4,1326,49.8,199,No Failure
496,H29909,H,297.5,309.3,1459,49.7,201,No Failure
497,M15356,M,297.5,309.2,1530,40.0,206,No Failure
498,L47677,L,297.4,309.0,1505,39.2,209,No Failure
499,L47678,L,297.5,309.1,1611,30.2,211,No Failure
500,L47679,L,297.5,309.1,1515,35.1,213,No Failure
503,L47682,L,297.6,309.2,1390,43.3,221,No Failure
505,M15364,M,297.6,309.3,1529,41.9,3,No Failure
507,L47686,L,297.6,309.3,1543,34.3,8,No Failure
510,M15369,M,297.6,309.3,1415,41.3,17,No Failure
511,L47690,L,297.5,309.3,1564,37.5,20,No Failure
512,L47691,L,297.5,309.3,1479,39.4,22,No Failure
513,L47692,L,297.5,309.2,1426,44.8,24,No Failure
514,L47693,L,297.4,309.2,1428,38.8,26,No Failure
515,L47694,L,297.4,309.2,1620,33.2,28,No Failure
516,L47695,L,297.5,309.2,1715,28.0,30,No Failure
517,L47696,L,297.5,309.3,1732,29.9,32,No Failure
519,L47698,L,297.6,309.5,1924,20.6,37,No Failure
520,M15379,M,297.7,309.5,2027,19.8,39,No Failure
521,L47700,L,297.6,309.5,1617,36.2,42,No Failure
522,L47701,L,297.5,309.4,1497,35.8,44,No Failure
523,M15382,M,297.5,309.5,1448,43.7,46,No Failure
525,L47704,L,297.4,309.4,1620,35.4,51,No Failure
526,L47705,L,297.4,309.4,1466,45.5,53,No Failure
528,M15387,M,297.6,309.6,1592,35.8,57,No Failure
530,L47709,L,297.6,309.5,1569,36.2,63,No Failure
533,L47712,L,297.5,309.4,1443,45.4,70,No Failure
534,L47713,L,297.5,309.3,1675,29.8,72,No Failure
535,L47714,L,297.5,309.3,1623,33.4,74,No Failure
536,H29949,H,297.4,309.3,1365,52.4,76,No Failure
537,L47716,L,297.4,309.3,1759,24.8,81,No Failure
538,H29951,H,297.4,309.3,1516,43.0,83,No Failure
541,L47720,L,297.4,309.4,1473,45.5,94,No Failure
543,L47722,L,297.5,309.4,1803,24.7,98,No Failure
544,H29957,H,297.5,309.3,1563,36.1,100,No Failure
545,M15404,M,297.5,309.4,1831,26.6,105,No Failure
547,L47726,L,297.5,309.4,1809,24.3,110,No Failure
550,L47729,L,297.4,309.2,1437,40.4,117,No Failure
555,H29968,H,297.5,309.4,1368,45.3,129,No Failure
557,L47736,L,297.5,309.4,1357,50.1,137,No Failure
559,L47738,L,297.5,309.4,1650,34.6,142,No Failure
560,L47739,L,297.5,309.4,1503,40.6,144,No Failure
561,L47740,L,297.5,309.4,1318,58.2,146,No Failure
562,M15421,M,297.5,309.4,1678,34.4,148,No Failure
563,L47742,L,297.6,309.5,1574,30.9,151,No Failure
564,L47743,L,297.7,309.6,1529,35.2,153,No Failure
565,H29978,H,297.6,309.6,1669,32.1,155,No Failure
566,H29979,H,297.7,309.7,1570,35.8,160,No Failure
568,M15427,M,297.7,309.7,1680,30.2,168,No Failure
569,L47748,L,297.8,309.7,1935,22.1,171,No Failure
572,M15431,M,297.8,309.8,1676,29.0,178,No Failure
574,L47753,L,297.9,309.9,1472,45.0,183,No Failure
575,M15434,M,297.9,310.0,1439,41.7,185,No Failure
577,H29990,H,297.7,309.7,1440,51.1,191,No Failure
578,L47757,L,297.7,309.7,1591,37.7,196,No Failure
579,L47758,L,297.8,309.8,1533,36.8,198,No Failure
580,M15439,M,297.8,309.7,1700,31.3,200,No Failure
581,M15440,M,297.8,309.8,1798,25.5,203,No Failure
582,L47761,L,297.8,309.7,1394,42.9,206,No Failure
583,L47762,L,297.8,309.7,1341,49.2,208,No Failure
590,L47769,L,297.6,309.4,1491,40.2,231,No Failure
591,L47770,L,297.5,309.4,1517,36.7,233,No Failure
592,H30005,H,297.5,309.3,1525,41.7,235,No Failure
593,H30006,H,297.5,309.5,1668,27.9,240,No Failure
595,H30008,H,297.6,309.6,1278,50.4,2,No Failure
596,M15455,M,297.6,309.6,1330,53.1,7,No Failure
597,M15456,M,297.6,309.6,1530,37.3,10,No Failure
598,H30011,H,297.6,309.6,1428,46.6,13,No Failure
599,L47778,L,297.7,309.6,1480,47.9,18,No Failure
600,H30013,H,297.7,309.7,1616,31.1,20,No Failure
604,L47783,L,297.9,309.8,1336,71.6,31,Power Failure
606,M15465,M,297.9,309.8,1693,29.9,35,No Failure
610,L47789,L,298.1,309.9,1629,32.5,45,No Failure
611,L47790,L,298.1,310.0,1534,33.7,47,No Failure
612,L47791,L,298.1,310.0,1553,40.9,49,No Failure
613,L47792,L,298.1,309.9,1563,32.8,51,No Failure
614,L47793,L,298.1,309.9,1634,30.0,53,No Failure
615,M15474,M,298.0,309.9,1445,45.2,55,No Failure
616,L47795,L,298.1,309.9,1642,30.4,58,No Failure
617,H30030,H,298.1,309.9,1686,29.1,60,No Failure
618,M15477,M,298.1,310.0,1393,43.1,65,No Failure
620,L47799,L,298.3,310.0,1507,44.7,73,No Failure
621,M15480,M,298.3,310.1,1389,49.6,75,No Failure
623,M15482,M,298.4,310.2,1725,32.0,80,No Failure
625,H30038,H,298.3,310.1,1509,37.6,85,No Failure
629,M15488,M,298.4,310.1,1335,57.8,96,No Failure
630,L47809,L,298.3,310.1,1523,45.9,99,No Failure
631,L47810,L,298.3,310.0,1460,47.6,101,No Failure
632,L47811,L,298.4,310.0,1554,37.3,103,No Failure
633,H30046,H,298.3,310.0,1419,47.1,105,No Failure
634,L47813,L,298.3,310.0,1442,43.9,110,No Failure
637,L47816,L,298.3,309.9,1463,43.9,116,No Failure
638,L47817,L,298.2,309.7,1585,37.4,118,No Failure
639,L47818,L,298.0,309.6,1536,37.3,120,No Failure
640,L47819,L,298.0,309.6,1403,51.3,122,No Failure
642,L47821,L,297.9,309.5,1390,47.9,127,No Failure
643,M15502,M,297.8,309.4,1226,58.7,129,No Failure
645,H30058,H,297.7,309.4,1608,30.2,135,No Failure
646,L47825,L,297.7,309.4,1392,44.1,140,No Failure
648,L47827,L,297.7,309.3,1559,36.9,145,No Failure
653,L47832,L,297.7,309.2,1391,44.5,159,No Failure
658,L47837,L,297.7,309.2,1365,58.6,170,No Failure
661,M15520,M,297.7,309.2,1700,27.4,176,No Failure
662,M15521,M,297.6,309.0,1427,45.6,179,No Failure
664,L47843,L,297.5,308.9,1469,44.0,185,No Failure
666,L47845,L,297.5,308.9,1729,28.1,189,No Failure
668,L47847,L,297.5,308.9,1459,48.5,193,No Failure
669,L47848,L,297.5,308.9,1738,24.0,195,No Failure
670,H30083,H,297.5,308.9,1471,37.7,197,No Failure
671,L47850,L,297.6,309.0,1822,25.4,202,No Failure
672,L47851,L,297.5,308.9,1554,34.8,204,No Failure
674,L47853,L,297.6,308.9,1449,47.7,209,No Failure
675,L47854,L,297.8,309.0,1456,41.2,0,No Failure
676,M15535,M,297.8,309.1,1424,45.5,2,No Failure
677,H30090,H,297.9,309.2,1577,34.7,5,No Failure
680,L47859,L,297.8,309.2,1372,47.3,15,No Failure
681,M15540,M,297.8,309.1,1432,42.6,17,No Failure
682,M15541,M,297.7,309.0,1656,33.2,20,No Failure
683,H30096,H,297.8,309.0,1410,48.8,23,No Failure
685,L47864,L,297.7,309.0,1538,43.2,30,No Failure
