type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type
M,298.6,308.4,1391,42.4,169,No Failure
L,298.4,308.4,1515,40.1,179,No Failure
M,298.3,308.3,1379,48.0,181,No Failure
L,298.4,308.3,1422,42.7,186,No Failure
M,298.4,308.2,1584,41.0,191,No Failure
L,298.4,308.2,1850,27.0,194,No Failure
L,298.4,308.2,1528,36.2,196,No Failure
H,298.4,308.2,1987,19.8,198,No Failure
M,298.4,308.1,1495,46.0,203,No Failure
M,298.4,308.2,1499,40.0,211,No Failure
L,298.4,308.2,1471,47.0,214,No Failure
L,298.4,308.2,1282,60.7,216,Overstrain Failure
L,298.3,308.1,1412,52.3,218,Overstrain Failure
L,298.3,308.1,1586,35.5,0,No Failure
M,298.4,308.2,1468,43.8,2,No Failure
M,298.5,308.3,1440,43.6,5,No Failure
L,298.5,308.4,1733,26.0,8,No Failure
H,298.4,308.2,1612,32.6,10,No Failure
H,298.4,308.3,1458,42.9,15,No Failure
L,298.4,308.3,1318,59.1,22,No Failure
L,298.2,308.1,1462,50.8,27,No Failure
M,298.2,308.0,1591,33.7,32,No Failure
L,298.2,308.1,1306,58.3,35,No Failure
L,298.2,308.1,1382,43.5,37,No Failure
L,298.2,308.2,1988,21.4,41,No Failure
L,298.2,308.2,1436,50.2,43,No Failure
L,298.2,308.3,1304,49.8,45,No Failure
L,298.2,308.3,1475,49.9,47,No Failure
H,298.2,308.3,1824,24.2,49,No Failure
M,298.1,308.2,1342,48.1,54,No Failure
L,298.1,308.2,1485,40.7,57,No Failure
L,298.2,308.2,1667,30.6,59,No Failure
L,298.3,308.5,1606,33.6,67,No Failure
L,298.2,308.4,1666,34.6,74,No Failure
H,298.2,308.4,1398,51.8,76,No Failure
H,298.2,308.4,1678,34.6,81,No Failure
M,298.4,308.6,1527,40.9,96,No Failure
L,298.4,308.6,1433,47.1,101,No Failure
L,298.4,308.6,1609,35.0,103,No Failure
L,298.3,308.5,1575,41.2,105,No Failure
L,298.4,308.5,1490,37.9,110,No Failure
L,298.4,308.5,1741,32.8,112,No Failure
M,298.4,308.7,1421,60.7,119,Power Failure
L,298.4,308.7,1523,36.1,126,No Failure
M,298.3,308.6,1589,37.1,137,No Failure
L,298.3,308.5,1664,31.6,144,No Failure
M,298.3,308.5,1434,46.2,148,No Failure
L,298.3,308.5,1416,52.7,151,No Failure
L,298.4,308.6,1304,45.0,158,No Failure
L,298.4,308.6,1569,34.4,160,No Failure
L,298.3,308.6,1584,29.3,162,No Failure
L,298.3,308.5,1362,53.8,164,No Failure
L,298.3,308.4,1329,49.2,166,No Failure
L,298.3,308.5,1538,32.2,173,No Failure
L,298.3,308.6,1570,34.8,175,No Failure
L,298.3,308.4,1408,43.1,177,No Failure
L,298.2,308.4,1424,47.6,179,No Failure
L,298.2,308.4,1512,34.9,181,No Failure
L,298.2,308.4,1478,42.9,183,No Failure
M,298.1,308.3,1680,33.7,185,No Failure
L,298.1,308.3,1495,38.7,188,No Failure
M,298.0,308.1,1552,36.6,190,No Failure
L,297.9,308.1,1393,50.3,193,No Failure
L,298.0,308.2,1611,30.6,195,No Failure
M,298.0,308.1,1339,51.6,197,No Failure
L,298.0,308.1,1777,24.3,200,No Failure
M,298.0,308.2,1395,49.1,206,No Failure
M,297.9,308.1,1627,31.4,209,No Failure
L,297.9,308.1,1585,33.5,212,No Failure
L,298.0,308.2,1469,45.5,214,No Failure
L,298.0,308.3,1405,56.2,218,Overstrain Failure
L,298.0,308.3,1662,32.7,0,No Failure
M,298.0,308.2,1466,42.6,2,No Failure
L,298.0,308.2,1357,48.2,7,No Failure
L,298.0,308.2,1514,37.9,9,No Failure
L,298.0,308.2,1489,40.4,11,No Failure
L,298.1,308.3,1331,63.0,13,No Failure
L,298.0,308.0,1615,29.5,15,No Failure
M,298.1,308.2,1420,63.9,19,Power Failure
M,298.1,308.2,1736,26.8,27,No Failure
L,298.1,308.2,1390,47.5,33,No Failure
L,298.0,308.1,1454,37.1,35,No Failure
L,297.9,308.0,1954,21.1,42,No Failure
H,297.9,308.0,1800,24.8,44,No Failure
L,298.0,308.0,1524,37.0,49,No Failure
H,298.0,308.0,1520,39.6,51,No Failure
M,298.1,308.1,1452,40.8,56,No Failure
L,298.1,308.1,1484,40.4,59,No Failure
L,298.1,308.0,1426,46.0,61,No Failure
L,298.1,308.0,1652,28.5,63,No Failure
M,298.0,307.9,1750,26.6,67,No Failure
H,298.0,308.0,1479,50.7,70,No Failure
M,298.0,308.0,1620,29.4,75,No Failure
L,298.0,308.1,1819,23.4,78,No Failure
M,298.1,308.1,1456,43.7,80,No Failure
M,298.1,308.1,1390,49.8,85,No Failure
L,298.2,308.2,1469,43.0,88,No Failure
L,298.2,308.3,1568,36.0,92,No Failure
L,298.2,308.3,1589,33.2,94,No Failure
H,298.2,308.4,1385,42.2,98,No Failure
L,298.1,308.4,1438,45.6,105,No Failure
L,298.0,308.3,1473,42.6,107,No Failure
L,298.1,308.4,1335,40.2,109,No Failure
H,298.1,308.5,1392,44.8,111,No Failure
M,298.1,308.6,1716,30.7,119,No Failure
L,298.0,308.5,1395,46.2,122,No Failure
L,298.0,308.5,1713,25.3,124,No Failure
H,297.9,308.5,2129,18.7,126,No Failure
M,297.8,308.3,1567,35.6,131,No Failure
L,297.8,308.4,1622,38.3,134,No Failure
H,297.8,308.4,1512,35.1,138,No Failure
M,297.8,308.4,1479,43.5,143,No Failure
L,297.8,308.4,1737,27.5,146,No Failure
L,297.8,308.4,2129,19.2,148,No Failure
L,297.8,308.4,1374,47.1,150,No Failure
M,297.8,308.4,1579,36.6,152,No Failure
M,297.9,308.5,1449,40.8,157,No Failure
H,298.0,308.6,1526,41.8,160,No Failure
L,298.0,308.6,1313,50.8,170,No Failure
M,297.9,308.5,1300,53.0,172,No Failure
L,297.9,308.4,1646,40.6,175,No Failure
L,297.8,308.4,1685,28.4,179,No Failure
L,297.8,308.4,1612,32.1,183,No Failure
L,297.8,308.5,1448,40.0,192,No Failure
L,297.8,308.5,1699,27.8,199,No Failure
L,297.7,308.5,1501,41.4,201,No Failure
L,297.7,308.5,1373,56.7,203,Overstrain Failure
H,297.6,308.4,1703,31.4,205,No Failure
M,297.6,308.4,1398,41.9,215,No Failure
M,297.6,308.4,1391,51.9,218,No Failure
M,297.6,308.3,1538,40.2,0,No Failure
L,297.5,308.2,1647,31.3,3,No Failure
M,297.5,308.1,1469,44.8,5,No Failure
L,297.4,308.1,1749,25.9,8,No Failure
M,297.6,308.2,1995,20.5,10,No Failure
L,297.5,308.2,1563,38.2,15,No Failure
L,297.4,308.1,1474,39.4,20,No Failure
M,297.4,308.2,1530,32.6,22,No Failure
L,297.4,308.2,1471,46.5,25,No Failure
L,297.5,308.3,1388,48.6,27,No Failure
M,297.5,308.2,2448,13.8,29,No Failure
M,297.5,308.3,1459,45.2,34,No Failure
L,297.5,308.3,1544,40.8,37,No Failure
L,297.6,308.3,1595,34.3,41,No Failure
H,297.6,308.3,1400,44.3,43,No Failure
M,297.6,308.4,1507,46.0,51,No Failure
L,297.6,308.3,1658,34.3,59,No Failure
M,297.6,308.4,1398,48.9,63,No Failure
L,297.6,308.4,1517,34.2,66,No Failure
M,297.6,308.3,1467,36.7,68,No Failure
M,297.5,308.3,1521,38.2,74,No Failure
L,297.5,308.3,1596,36.8,77,No Failure
L,297.6,308.3,1438,47.8,84,No Failure
L,297.6,308.4,1407,55.2,86,No Failure
L,297.6,308.4,1353,57.5,88,No Failure
M,297.6,308.5,1552,40.9,90,No Failure
M,297.6,308.4,1569,38.3,93,No Failure
L,297.5,308.4,1489,39.5,96,No Failure
H,297.5,308.4,1587,36.1,98,No Failure
L,297.5,308.4,1604,38.1,106,No Failure
M,297.4,308.3,1405,51.7,108,No Failure
M,297.4,308.2,1401,51.9,117,No Failure
M,297.4,308.2,1424,53.9,120,No Failure
L,297.3,308.2,1754,29.4,123,No Failure
L,297.3,308.2,1754,26.8,125,No Failure
L,297.5,308.3,2564,12.8,127,Power Failure
L,297.5,308.5,1712,26.8,136,No Failure
M,297.6,308.6,1414,45.4,138,No Failure
L,297.6,308.7,1319,50.9,141,No Failure
L,297.7,308.7,1249,60.4,143,No Failure
L,297.6,308.7,1460,46.7,150,No Failure
L,297.6,308.6,1491,38.1,152,No Failure
M,297.5,308.4,1350,52.2,157,No Failure
L,297.5,308.4,1528,39.9,160,No Failure
L,297.4,308.3,1571,37.7,162,No Failure
L,297.4,308.3,1490,42.6,164,No Failure
M,297.4,308.3,1774,28.9,166,No Failure
L,297.5,308.5,1722,30.4,178,No Failure
L,297.4,308.6,1678,32.3,180,No Failure
L,297.3,308.6,1273,59.8,182,No Failure
L,297.3,308.6,1297,45.9,184,No Failure
L,297.3,308.5,1350,57.6,186,No Failure
L,297.4,308.6,1439,51.9,188,No Failure
M,297.4,308.5,1600,42.1,190,No Failure
M,297.5,308.6,1472,44.9,198,No Failure
L,297.5,308.6,1388,48.2,203,No Failure
L,297.4,308.4,1573,34.5,205,No Failure
L,297.4,308.4,1588,32.5,207,No Failure
L,297.5,308.4,1511,42.8,209,No Failure
L,297.4,308.4,1394,50.1,213,No Failure
L,297.4,308.4,2151,17.7,0,No Failure
M,297.3,308.3,1501,38.2,2,No Failure
M,297.3,308.3,1301,39.6,5,No Failure
M,297.3,308.3,1657,31.1,8,No Failure
L,297.3,308.3,1333,55.2,11,No Failure
L,297.3,308.3,1484,43.9,13,No Failure
L,297.3,308.4,1430,45.7,15,No Failure
M,297.3,308.4,1665,28.9,17,No Failure
M,297.6,308.6,1595,36.9,25,No Failure
L,297.5,308.6,1208,62.3,28,No Failure
L,297.5,308.6,1596,37.1,30,No Failure
L,297.5,308.5,1446,41.9,32,No Failure
M,297.6,308.5,1466,39.7,34,No Failure
M,297.6,308.5,1848,23.7,37,No Failure
L,297.3,308.3,1504,36.3,45,No Failure
L,297.3,308.3,1538,38.5,47,No Failure
L,297.4,308.4,1341,52.2,49,No Failure
H,297.5,308.5,1393,46.6,56,No Failure
H,297.4,308.5,1469,45.1,63,No Failure
L,297.5,308.6,1452,39.0,72,No Failure
M,297.6,308.7,1376,59.9,74,No Failure
L,297.5,308.6,1552,44.9,77,No Failure
L,297.6,308.7,1622,37.9,79,No Failure
H,297.5,308.6,1440,46.1,84,No Failure
M,297.4,308.6,1643,31.0,89,No Failure
L,297.4,308.7,1468,46.6,94,No Failure
L,297.4,308.7,1429,57.4,96,No Failure
L,297.4,308.6,1276,53.6,103,No Failure
L,297.3,308.6,1486,42.6,105,No Failure
L,297.4,308.7,2874,4.2,118,Power Failure
L,297.3,308.6,1511,35.7,120,No Failure
M,297.3,308.6,1456,42.9,122,No Failure
L,297.2,308.5,1550,41.5,125,No Failure
L,297.3,308.7,1619,31.6,129,No Failure
H,297.3,308.8,1499,44.2,134,No Failure
M,297.4,309.0,1497,41.8,144,No Failure
M,297.4,309.0,1520,37.0,147,No Failure
L,297.4,309.1,1380,41.1,152,No Failure
L,297.4,309.0,1570,37.9,154,No Failure
H,297.4,309.0,1468,41.4,156,No Failure
L,297.4,309.0,1833,22.6,161,No Failure
M,297.4,308.9,1323,57.3,163,No Failure
L,297.4,309.0,1583,32.0,166,No Failure
M,297.3,309.0,1556,39.5,168,No Failure
M,297.4,309.0,1685,30.7,177,No Failure
M,297.4,309.1,1582,35.9,180,No Failure
M,297.5,309.2,1347,55.8,188,No Failure
L,297.4,309.2,1459,37.9,191,No Failure
L,297.4,309.2,1420,45.6,193,No Failure
L,297.5,309.3,1404,43.5,195,No Failure
L,297.5,309.3,1470,38.8,197,No Failure
L,297.6,309.4,1326,49.8,199,No Failure
H,297.5,309.3,1459,49.7,201,No Failure
M,297.5,309.2,1530,40.0,206,No Failure
L,297.4,309.0,1505,39.2,209,No Failure
L,297.5,309.1,1611,30.2,211,No Failure
L,297.5,309.1,1515,35.1,213,No Failure
L,297.6,309.2,1390,43.3,221,No Failure
M,297.6,309.3,1529,41.9,3,No Failure
L,297.6,309.3,1543,34.3,8,No Failure
M,297.6,309.3,1415,41.3,17,No Failure
L,297.5,309.3,1564,37.5,20,No Failure
L,297.5,309.3,1479,39.4,22,No Failure
L,297.5,309.2,1426,44.8,24,No Failure
L,297.4,309.2,1428,38.8,26,No Failure
L,297.4,309.2,1620,33.2,28,No Failure
L,297.5,309.2,1715,28.0,30,No Failure
L,297.5,309.3,1732,29.9,32,No Failure
L,297.6,309.5,1924,20.6,37,No Failure
M,297.7,309.5,2027,19.8,39,No Failure
L,297.6,309.5,1617,36.2,42,No Failure
L,297.5,309.4,1497,35.8,44,No Failure
M,297.5,309.5,1448,43.7,46,No Failure
L,297.4,309.4,1620,35.4,51,No Failure
L,297.4,309.4,1466,45.5,53,No Failure
M,297.6,309.6,1592,35.8,57,No Failure
L,297.6,309.5,1569,36.2,63,No Failure
L,297.5,309.4,1443,45.4,70,No Failure
L,297.5,309.3,1675,29.8,72,No Failure
L,297.5,309.3,1623,33.4,74,No Failure
H,297.4,309.3,1365,52.4,76,No Failure
L,297.4,309.3,1759,24.8,81,No Failure
H,297.4,309.3,1516,43.0,83,No Failure
L,297.4,309.4,1473,45.5,94,No Failure
L,297.5,309.4,1803,24.7,98,No Failure
H,297.5,309.3,1563,36.1,100,No Failure
M,297.5,309.4,1831,26.6,105,No Failure
L,297.5,309.4,1809,24.3,110,No Failure
L,297.4,309.2,1437,40.4,117,No Failure
H,297.5,309.4,1368,45.3,129,No Failure
L,297.5,309.4,1357,50.1,137,No Failure
L,297.5,309.4,1650,34.6,142,No Failure
L,297.5,309.4,1503,40.6,144,No Failure
L,297.5,309.4,1318,58.2,146,No Failure
M,297.5,309.4,1678,34.4,148,No Failure
L,297.6,309.5,1574,30.9,151,No Failure
L,297.7,309.6,1529,35.2,153,No Failure
H,297.6,309.6,1669,32.1,155,No Failure
H,297.7,309.7,1570,35.8,160,No Failure
M,297.7,309.7,1680,30.2,168,No Failure
L,297.8,309.7,1935,22.1,171,No Failure
M,297.8,309.8,1676,29.0,178,No Failure
L,297.9,309.9,1472,45.0,183,No Failure
M,297.9,310.0,1439,41.7,185,No Failure
H,297.7,309.7,1440,51.1,191,No Failure
L,297.7,309.7,1591,37.7,196,No Failure
L,297.8,309.8,1533,36.8,198,No Failure
M,297.8,309.7,1700,31.3,200,No Failure
M,297.8,309.8,1798,25.5,203,No Failure
L,297.8,309.7,1394,42.9,206,No Failure
L,297.8,309.7,1341,49.2,208,No Failure
L,297.6,309.4,1491,40.2,231,No Failure
L,297.5,309.4,1517,36.7,233,No Failure
H,297.5,309.3,1525,41.7,235,No Failure
H,297.5,309.5,1668,27.9,240,No Failure
H,297.6,309.6,1278,50.4,2,No Failure
M,297.6,309.6,1330,53.1,7,No Failure
M,297.6,309.6,1530,37.3,10,No Failure
H,297.6,309.6,1428,46.6,13,No Failure
L,297.7,309.6,1480,47.9,18,No Failure
H,297.7,309.7,1616,31.1,20,No Failure
L,297.9,309.8,1336,71.6,31,Power Failure
M,297.9,309.8,1693,29.9,35,No Failure
L,298.1,309.9,1629,32.5,45,No Failure
L,298.1,310.0,1534,33.7,47,No Failure
L,298.1,310.0,1553,40.9,49,No Failure
L,298.1,309.9,1563,32.8,51,No Failure
L,298.1,309.9,1634,30.0,53,No Failure
M,298.0,309.9,1445,45.2,55,No Failure
L,298.1,309.9,1642,30.4,58,No Failure
H,298.1,309.9,1686,29.1,60,No Failure
M,298.1,310.0,1393,43.1,65,No Failure
L,298.3,310.0,1507,44.7,73,No Failure
M,298.3,310.1,1389,49.6,75,No Failure
M,298.4,310.2,1725,32.0,80,No Failure
H,298.3,310.1,1509,37.6,85,No Failure
M,298.4,310.1,1335,57.8,96,No Failure
L,298.3,310.1,1523,45.9,99,No Failure
L,298.3,310.0,1460,47.6,101,No Failure
L,298.4,310.0,1554,37.3,103,No Failure
H,298.3,310.0,1419,47.1,105,No Failure
L,298.3,310.0,1442,43.9,110,No Failure
L,298.3,309.9,1463,43.9,116,No Failure
L,298.2,309.7,1585,37.4,118,No Failure
L,298.0,309.6,1536,37.3,120,No Failure
L,298.0,309.6,1403,51.3,122,No Failure
L,297.9,309.5,1390,47.9,127,No Failure
M,297.8,309.4,1226,58.7,129,No Failure
H,297.7,309.4,1608,30.2,135,No Failure
L,297.7,309.4,1392,44.1,140,No Failure
L,297.7,309.3,1559,36.9,145,No Failure
L,297.7,309.2,1391,44.5,159,No Failure
L,297.7,309.2,1365,58.6,170,No Failure
M,297.7,309.2,1700,27.4,176,No Failure
M,297.6,309.0,1427,45.6,179,No Failure
L,297.5,308.9,1469,44.0,185,No Failure
L,297.5,308.9,1729,28.1,189,No Failure
L,297.5,308.9,1459,48.5,193,No Failure
L,297.5,308.9,1738,24.0,195,No Failure
H,297.5,308.9,1471,37.7,197,No Failure
L,297.6,309.0,1822,25.4,202,No Failure
L,297.5,308.9,1554,34.8,204,No Failure
L,297.6,308.9,1449,47.7,209,No Failure
L,297.8,309.0,1456,41.2,0,No Failure
M,297.8,309.1,1424,45.5,2,No Failure
H,297.9,309.2,1577,34.7,5,No Failure
L,297.8,309.2,1372,47.3,15,No Failure
M,297.8,309.1,1432,42.6,17,No Failure
M,297.7,309.0,1656,33.2,20,No Failure
H,297.8,309.0,1410,48.8,23,No Failure
L,297.7,309.0,1538,43.2,30,No Failure
M,297.7,309.0,1636,29.7,32,No Failure
M,297.7,309.0,1504,40.4,35,No Failure
M,297.7,309.0,1531,42.4,38,No Failure
H,297.6,309.0,1735,26.4,41,No Failure
H,297.6,309.0,1354,55.6,46,No Failure
H,297.6,309.0,1413,40.2,51,No Failure
L,297.7,309.1,1563,39.3,56,No Failure
L,297.7,309.1,1477,38.3,60,No Failure
L,297.6,309.1,1394,50.0,62,No Failure
L,297.6,309.0,1487,45.4,64,No Failure
M,297.6,309.0,1815,25.3,66,No Failure
M,297.6,308.8,1453,39.7,69,No Failure
L,297.6,308.8,1539,40.2,72,No Failure
M,297.6,308.8,1683,31.6,79,No Failure
L,297.7,308.8,1515,40.1,82,No Failure
M,297.7,308.9,1531,48.3,84,No Failure
L,297.7,308.9,1516,33.7,92,No Failure
L,297.7,308.9,1838,27.3,99,No Failure
M,297.6,308.8,1357,49.7,104,No Failure
M,297.5,308.7,1697,28.1,107,No Failure
L,297.5,308.7,1453,37.6,112,No Failure
L,297.4,308.6,1439,46.4,114,No Failure
L,297.4,308.6,1609,36.2,116,No Failure
L,297.4,308.6,1324,59.1,118,No Failure
L,297.4,308.7,1545,36.9,125,No Failure
L,297.5,308.8,1477,39.0,127,No Failure
L,297.5,308.9,1696,30.9,133,No Failure
L,297.5,308.9,1427,44.7,135,No Failure
L,297.5,308.9,1390,44.6,140,No Failure
L,297.4,308.8,1640,34.2,142,No Failure
M,297.4,308.8,1628,37.4,144,No Failure
H,297.3,308.6,1499,37.6,147,No Failure
L,297.3,308.6,1586,37.7,155,No Failure
M,297.3,308.6,1471,50.7,157,No Failure
M,297.3,308.6,1431,53.0,160,No Failure
L,297.2,308.6,1924,22.1,163,No Failure
M,297.1,308.4,1421,42.0,165,No Failure
H,297.0,308.4,1305,54.6,168,No Failure
L,296.9,308.4,1557,32.4,173,No Failure
L,296.8,308.3,1506,45.9,182,No Failure
M,296.9,308.4,1450,46.9,186,No Failure
L,296.8,308.2,1643,34.7,191,No Failure
L,296.7,308.1,1450,40.9,195,No Failure
L,296.7,308.0,1451,50.7,197,No Failure
L,296.8,308.1,1289,62.0,199,Overstrain Failure
H,296.7,308.1,1528,46.3,203,No Failure
L,296.7,308.0,1535,36.8,210,No Failure
M,296.8,308.1,1843,24.2,212,No Failure
L,296.8,308.0,1536,40.4,217,No Failure
M,296.9,308.1,1483,44.3,219,No Failure
M,296.7,307.8,1537,36.3,233,No Failure
L,296.7,307.8,1646,34.6,238,No Failure
L,296.7,307.8,1400,47.5,3,No Failure
L,296.8,307.9,1337,56.5,5,No Failure
L,296.9,308.0,1332,53.9,7,No Failure
L,296.9,308.0,1546,31.1,11,No Failure
L,296.9,308.0,1713,29.3,13,No Failure
L,296.9,308.0,1343,44.5,15,No Failure
L,296.8,308.0,1391,54.4,17,No Failure
H,296.8,308.0,1311,58.6,19,No Failure
L,296.8,307.9,1448,48.8,31,No Failure
L,296.7,307.8,1468,39.2,35,No Failure
L,296.7,308.0,1580,32.2,39,No Failure
L,296.8,308.0,1666,29.8,41,No Failure
L,296.8,307.9,1698,30.8,48,No Failure
H,296.7,307.9,1579,33.4,50,No Failure
L,296.7,307.9,1743,27.9,55,No Failure
L,296.9,308.1,1435,45.3,62,No Failure
M,296.9,308.1,1440,46.3,64,No Failure
M,296.9,308.0,1641,33.3,67,No Failure
L,296.8,307.9,1420,45.4,70,No Failure
L,296.8,307.9,1611,35.4,72,No Failure
M,296.8,307.9,1683,31.8,76,No Failure
H,296.9,307.9,1547,32.6,79,No Failure
L,296.9,307.8,1605,37.0,84,No Failure
L,296.8,307.7,1565,40.1,89,No Failure
M,296.9,307.8,1828,24.6,91,No Failure
M,297.0,307.8,1579,34.1,94,No Failure
M,297.0,307.9,1882,24.2,97,No Failure
L,296.9,307.8,1285,52.1,100,No Failure
L,296.9,307.8,1571,35.0,102,No Failure
H,296.9,307.8,1549,37.8,104,No Failure
M,296.9,307.8,1544,37.6,109,No Failure
M,297.0,307.9,1412,47.4,112,No Failure
M,297.0,307.9,1422,53.0,115,No Failure
L,297.0,307.7,1867,22.8,118,No Failure
L,296.9,307.7,1424,43.3,120,No Failure
L,296.9,307.7,1550,39.7,124,No Failure
L,296.8,307.6,1588,37.6,126,No Failure
L,296.8,307.6,1338,44.4,128,No Failure
L,296.8,307.6,1434,48.3,138,No Failure
L,296.8,307.6,1304,48.7,142,No Failure
L,296.8,307.6,1398,46.7,144,No Failure
M,296.7,307.6,1547,34.7,150,No Failure
M,296.6,307.5,1482,39.9,153,No Failure
L,296.5,307.2,1481,38.2,160,No Failure
L,296.5,307.3,1501,42.1,162,No Failure
L,296.5,307.3,1566,37.2,164,No Failure
L,296.5,307.3,1579,34.5,166,No Failure
L,296.6,307.4,1631,35.0,168,No Failure
L,296.6,307.4,1368,45.1,185,No Failure
L,296.6,307.4,1465,47.8,187,No Failure
H,296.6,307.4,1406,41.5,189,No Failure
M,296.5,307.4,1565,43.5,194,No Failure
L,296.6,307.5,1439,45.5,199,No Failure
L,296.6,307.5,1485,42.7,204,No Failure
L,296.5,307.5,1566,35.1,206,No Failure
L,296.3,307.3,1439,41.5,208,No Failure
L,296.4,307.4,2833,5.6,213,Power Failure
L,296.3,307.4,1465,47.1,215,No Failure
M,296.3,307.3,1368,49.5,10,No Failure
L,296.3,307.3,1444,49.0,13,No Failure
M,296.3,307.3,1498,41.6,15,No Failure
L,296.1,307.2,1615,30.8,18,No Failure
L,296.1,307.1,1898,22.7,20,No Failure
M,296.1,307.1,1350,53.3,22,No Failure
