rowNumber,predictedValues
394,No Failure
395,No Failure
396,Random Failures
397,No Failure
398,Tool Wear Failure
399,No Failure
400,Random Failures
401,No Failure
402,No Failure
403,No Failure
404,No Failure
405,Random Failures
406,Random Failures
407,No Failure
408,No Failure
409,No Failure
410,No Failure
411,Random Failures
412,Random Failures
413,No Failure
414,No Failure
415,Overstrain Failure
416,Tool Wear Failure
417,No Failure
418,No Failure
419,No Failure
420,No Failure
421,No Failure
422,Random Failures
423,No Failure
424,Power Failure
425,No Failure
426,Random Failures
427,Random Failures
428,Random Failures
429,Random Failures
430,Random Failures
431,No Failure
432,No Failure
433,No Failure
434,Heat Dissipation Failure
435,No Failure
436,No Failure
437,No Failure
438,Random Failures
439,No Failure
440,No Failure
441,No Failure
442,Random Failures
443,No Failure
444,No Failure
445,No Failure
446,Tool Wear Failure
447,No Failure
448,Random Failures
449,No Failure
450,Power Failure
451,Tool Wear Failure
452,Overstrain Failure
453,Random Failures
454,No Failure
455,Random Failures
456,No Failure
457,No Failure
458,Random Failures
459,No Failure
460,No Failure
461,Random Failures
462,No Failure
463,Random Failures
464,Heat Dissipation Failure
465,No Failure
466,No Failure
467,No Failure
468,No Failure
469,Tool Wear Failure
470,No Failure
471,No Failure
472,No Failure
473,No Failure
474,No Failure
475,Power Failure
476,No Failure
477,No Failure
478,No Failure
479,No Failure
480,No Failure
481,Random Failures
482,Random Failures
483,Random Failures
484,Random Failures
485,No Failure
486,Random Failures
487,No Failure
488,Heat Dissipation Failure
489,Random Failures
490,Random Failures
491,No Failure
492,No Failure
493,No Failure
494,No Failure
495,No Failure
496,No Failure
497,No Failure
498,Tool Wear Failure
499,No Failure
500,No Failure
501,No Failure
502,No Failure
503,No Failure
504,No Failure
505,Tool Wear Failure
506,No Failure
507,No Failure
508,Random Failures
509,Overstrain Failure
510,Random Failures
511,No Failure
512,No Failure
513,No Failure
514,Tool Wear Failure
515,No Failure
516,No Failure
517,Random Failures
518,No Failure
519,No Failure
520,Tool Wear Failure
521,Tool Wear Failure
522,No Failure
523,No Failure
524,No Failure
525,Power Failure
526,No Failure
527,No Failure
528,No Failure
529,Random Failures
530,Random Failures
531,No Failure
532,No Failure
533,Random Failures
534,No Failure
535,No Failure
536,No Failure
537,Tool Wear Failure
538,Overstrain Failure
539,Random Failures
540,Random Failures
541,Tool Wear Failure
542,Tool Wear Failure
543,Random Failures
544,No Failure
545,No Failure
546,No Failure
547,Random Failures
548,Random Failures
549,No Failure
550,No Failure
551,Tool Wear Failure
552,No Failure
553,No Failure
554,Tool Wear Failure
555,No Failure
556,No Failure
557,Tool Wear Failure
558,Random Failures
559,No Failure
560,No Failure
561,No Failure
562,No Failure
563,No Failure
564,Random Failures
565,Random Failures
566,No Failure
567,Random Failures
568,Random Failures
569,No Failure
570,Heat Dissipation Failure
571,Random Failures
572,No Failure
573,No Failure
574,No Failure
575,No Failure
576,Random Failures
577,No Failure
578,Power Failure
579,Tool Wear Failure
580,Power Failure
581,No Failure
582,No Failure
583,No Failure
584,No Failure
585,No Failure
586,Random Failures
587,No Failure
588,No Failure
589,Random Failures
590,No Failure
591,No Failure
592,No Failure
593,No Failure
594,No Failure
595,No Failure
596,No Failure
597,No Failure
598,No Failure
599,No Failure
600,Tool Wear Failure
601,No Failure
602,No Failure
603,No Failure
604,No Failure
605,No Failure
606,Random Failures
607,No Failure
608,Tool Wear Failure
609,No Failure
610,Random Failures
611,Random Failures
612,Tool Wear Failure
613,Power Failure
614,No Failure
615,No Failure
616,Random Failures
617,No Failure
618,No Failure
619,Random Failures
620,No Failure
621,No Failure
622,Tool Wear Failure
623,No Failure
624,No Failure
625,No Failure
626,Random Failures
627,Tool Wear Failure
628,Random Failures
629,No Failure
630,No Failure
631,No Failure
632,No Failure
633,Random Failures
634,No Failure
635,No Failure
636,Random Failures
637,No Failure
638,No Failure
639,Random Failures
640,No Failure
641,No Failure
642,No Failure
643,Random Failures
644,Random Failures
645,No Failure
646,No Failure
647,No Failure
648,No Failure
649,No Failure
650,No Failure
651,No Failure
652,Overstrain Failure
653,Random Failures
654,No Failure
655,No Failure
656,No Failure
657,Random Failures
658,No Failure
659,Random Failures
660,No Failure
661,No Failure
662,No Failure
663,Random Failures
664,Tool Wear Failure
665,No Failure
666,No Failure
667,Random Failures
668,Tool Wear Failure
669,No Failure
670,Random Failures
671,No Failure
672,No Failure
673,Random Failures
674,No Failure
675,No Failure
676,No Failure
677,Random Failures
678,No Failure
679,Random Failures
680,No Failure
681,No Failure
682,No Failure
683,No Failure
684,No Failure
685,Heat Dissipation Failure
686,No Failure
687,No Failure
688,Tool Wear Failure
689,No Failure
690,No Failure
691,Random Failures
692,No Failure
693,No Failure
694,No Failure
695,No Failure
696,No Failure
697,No Failure
698,No Failure
699,Tool Wear Failure
700,No Failure
701,No Failure
702,Random Failures
703,No Failure
704,No Failure
705,No Failure
706,No Failure
707,Random Failures
708,No Failure
709,Random Failures
710,No Failure
711,No Failure
712,No Failure
713,No Failure
714,No Failure
715,No Failure
716,No Failure
717,No Failure
718,Random Failures
719,No Failure
720,No Failure
721,No Failure
722,No Failure
723,Random Failures
724,No Failure
725,Power Failure
726,No Failure
727,Heat Dissipation Failure
728,No Failure
729,Random Failures
730,Random Failures
731,No Failure
732,No Failure
733,No Failure
734,Random Failures
735,No Failure
736,Random Failures
737,No Failure
738,Tool Wear Failure
739,Random Failures
740,No Failure
741,Tool Wear Failure
742,No Failure
743,No Failure
744,No Failure
745,No Failure
746,Random Failures
747,Tool Wear Failure
748,No Failure
749,No Failure
750,No Failure
751,No Failure
752,No Failure
753,Random Failures
754,No Failure
755,No Failure
756,No Failure
757,No Failure
758,Overstrain Failure
759,Random Failures
760,No Failure
761,Random Failures
762,Random Failures
763,No Failure
764,Tool Wear Failure
765,No Failure
766,No Failure
767,No Failure
768,No Failure
769,Random Failures
770,No Failure
771,No Failure
772,Tool Wear Failure
773,No Failure
774,No Failure
775,No Failure
776,No Failure
777,No Failure
778,Tool Wear Failure
779,No Failure
780,No Failure
781,Random Failures
782,No Failure
783,No Failure
784,No Failure
785,No Failure
786,No Failure
787,Overstrain Failure
788,No Failure
789,No Failure
790,Tool Wear Failure
791,No Failure
792,No Failure
793,No Failure
794,No Failure
795,Random Failures
796,Tool Wear Failure
797,No Failure
798,No Failure
799,Overstrain Failure
800,No Failure
801,Random Failures
802,Random Failures
803,No Failure
804,Tool Wear Failure
805,Random Failures
806,Random Failures
807,Random Failures
808,Random Failures
809,No Failure
810,No Failure
811,No Failure
812,Random Failures
813,Tool Wear Failure
814,Random Failures
815,No Failure
816,Tool Wear Failure
817,Random Failures
818,No Failure
819,Random Failures
820,No Failure
821,No Failure
822,No Failure
823,Random Failures
824,No Failure
825,Heat Dissipation Failure
826,No Failure
827,No Failure
828,No Failure
829,Tool Wear Failure
830,Tool Wear Failure
831,No Failure
832,Random Failures
833,No Failure
834,No Failure
835,No Failure
836,No Failure
837,Power Failure
838,Tool Wear Failure
839,Tool Wear Failure
840,Random Failures
841,Random Failures
842,No Failure
843,Random Failures
844,Random Failures
845,No Failure
846,No Failure
847,No Failure
848,No Failure
849,Tool Wear Failure
850,Random Failures
851,No Failure
852,No Failure
853,No Failure
854,No Failure
855,No Failure
856,No Failure
857,No Failure
858,No Failure
859,Random Failures
860,Random Failures
861,Overstrain Failure
862,No Failure
863,No Failure
864,No Failure
865,Tool Wear Failure
866,Random Failures
867,Random Failures
868,No Failure
869,No Failure
870,No Failure
871,Random Failures
872,No Failure
873,No Failure
874,Random Failures
875,Random Failures
876,No Failure
877,No Failure
878,No Failure
879,Heat Dissipation Failure
880,Random Failures
881,No Failure
882,Tool Wear Failure
883,No Failure
884,No Failure
885,No Failure
886,No Failure
887,No Failure
888,No Failure
889,No Failure
890,Random Failures
891,No Failure
892,No Failure
893,No Failure
894,No Failure
895,Random Failures
896,Random Failures
897,No Failure
898,No Failure
899,Overstrain Failure
900,No Failure
901,Random Failures
902,No Failure
903,No Failure
904,Random Failures
905,No Failure
906,Random Failures
907,No Failure
908,No Failure
909,No Failure
910,No Failure
911,Random Failures
912,No Failure
913,Random Failures
914,No Failure
915,No Failure
916,No Failure
917,No Failure
918,No Failure
919,No Failure
920,Tool Wear Failure
921,No Failure
922,Tool Wear Failure
923,No Failure
924,No Failure
925,No Failure
926,Random Failures
927,No Failure
928,No Failure
929,No Failure
930,Random Failures
931,Random Failures
932,Random Failures
933,No Failure
934,No Failure
935,No Failure
936,Random Failures
937,Random Failures
938,No Failure
939,Random Failures
940,No Failure
941,No Failure
942,No Failure
943,No Failure
944,No Failure
945,No Failure
946,Random Failures
947,No Failure
948,Tool Wear Failure
949,No Failure
950,No Failure
951,Random Failures
952,No Failure
953,No Failure
954,No Failure
955,Random Failures
956,No Failure
957,No Failure
958,No Failure
959,Random Failures
960,No Failure
961,Random Failures
962,Random Failures
963,No Failure
964,No Failure
965,No Failure
966,No Failure
967,No Failure
968,No Failure
969,No Failure
970,Heat Dissipation Failure
971,No Failure
972,Random Failures
973,No Failure
974,Random Failures
975,No Failure
976,Random Failures
977,Power Failure
978,No Failure
979,Random Failures
980,No Failure
981,No Failure
982,No Failure
983,No Failure
984,No Failure
985,No Failure
986,Random Failures
987,Tool Wear Failure
988,No Failure
989,No Failure
990,Tool Wear Failure
991,No Failure
992,No Failure
993,Random Failures
994,Overstrain Failure
995,Tool Wear Failure
996,Tool Wear Failure
997,No Failure
998,No Failure
999,No Failure
1000,No Failure
1001,No Failure
1002,No Failure
1003,No Failure
1004,No Failure
1005,Random Failures
1006,Overstrain Failure
1007,No Failure
1008,No Failure
1009,No Failure
1010,No Failure
1011,No Failure
1012,No Failure
1013,No Failure
1014,Random Failures
1015,No Failure
1016,No Failure
1017,Heat Dissipation Failure
1018,No Failure
1019,Tool Wear Failure
1020,Random Failures
1021,No Failure
1022,No Failure
1023,No Failure
1024,Random Failures
1025,No Failure
1026,No Failure
1027,Random Failures
1028,No Failure
1029,Tool Wear Failure
1030,No Failure
1031,No Failure
1032,No Failure
1033,No Failure
1034,Random Failures
1035,Random Failures
1036,No Failure
1037,Heat Dissipation Failure
1038,Random Failures
1039,No Failure
1040,No Failure
1041,Heat Dissipation Failure
1042,No Failure
1043,No Failure
1044,No Failure
1045,Random Failures
1046,No Failure
1047,No Failure
1048,Tool Wear Failure
1049,Random Failures
1050,No Failure
1051,No Failure
1052,No Failure
1053,Random Failures
1054,Random Failures
1055,No Failure
1056,Random Failures
1057,No Failure
1058,No Failure
1059,No Failure
1060,No Failure
1061,Tool Wear Failure
1062,Tool Wear Failure
1063,Random Failures
1064,No Failure
1065,Random Failures
1066,No Failure
1067,No Failure
1068,Random Failures
1069,No Failure
1070,No Failure
1071,Random Failures
1072,Random Failures
1073,No Failure
1074,No Failure
1075,No Failure
1076,No Failure
1077,No Failure
1078,Heat Dissipation Failure
1079,No Failure
1080,No Failure
1081,No Failure
1082,No Failure
1083,No Failure
1084,Random Failures
1085,Random Failures
1086,No Failure
1087,No Failure
1088,No Failure
1089,No Failure
1090,Tool Wear Failure
1091,Random Failures
1092,Random Failures
1093,No Failure
1094,No Failure
1095,No Failure
1096,Heat Dissipation Failure
1097,Overstrain Failure
1098,No Failure
1099,Overstrain Failure
1100,No Failure
1101,No Failure
1102,No Failure
1103,No Failure
1104,No Failure
1105,Overstrain Failure
1106,No Failure
1107,No Failure
1108,Random Failures
1109,Overstrain Failure
1110,No Failure
1111,No Failure
1112,No Failure
1113,Random Failures
1114,No Failure
1115,No Failure
1116,No Failure
1117,No Failure
1118,Random Failures
1119,Random Failures
1120,No Failure
1121,Random Failures
1122,Overstrain Failure
1123,No Failure
1124,No Failure
1125,No Failure
1126,No Failure
1127,No Failure
1128,Tool Wear Failure
1129,No Failure
1130,No Failure
1131,No Failure
1132,No Failure
1133,No Failure
1134,Random Failures
1135,Random Failures
1136,Random Failures
1137,No Failure
1138,No Failure
1139,No Failure
1140,No Failure
1141,Tool Wear Failure
1142,Random Failures
1143,No Failure
1144,No Failure
1145,No Failure
1146,Random Failures
1147,No Failure
1148,No Failure
1149,No Failure
1150,No Failure
1151,No Failure
1152,No Failure
1153,No Failure
1154,No Failure
1155,Random Failures
1156,No Failure
1157,No Failure
1158,Random Failures
1159,No Failure
1160,No Failure
1161,No Failure
1162,Random Failures
1163,No Failure
1164,Heat Dissipation Failure
1165,Heat Dissipation Failure
1166,Random Failures
1167,Power Failure
1168,No Failure
1169,Random Failures
1170,Random Failures
1171,No Failure
1172,No Failure
1173,No Failure
1174,No Failure
1175,No Failure
1176,No Failure
1177,Random Failures
1178,No Failure
1179,No Failure
1180,Tool Wear Failure
1181,No Failure
1182,No Failure
1183,No Failure
1184,Random Failures
1185,No Failure
1186,Random Failures
1187,Random Failures
1188,Tool Wear Failure
1189,Random Failures
1190,No Failure
1191,Random Failures
1192,No Failure
1193,No Failure
1194,No Failure
1195,No Failure
1196,No Failure
1197,Tool Wear Failure
1198,No Failure
1199,No Failure
1200,No Failure
1201,No Failure
1202,No Failure
1203,No Failure
1204,No Failure
1205,No Failure
1206,No Failure
1207,No Failure
1208,No Failure
1209,No Failure
1210,Heat Dissipation Failure
1211,Random Failures
1212,No Failure
1213,No Failure
1214,No Failure
1215,No Failure
1216,Random Failures
1217,No Failure
1218,No Failure
1219,No Failure
1220,No Failure
1221,No Failure
1222,No Failure
1223,Random Failures
1224,No Failure
1225,No Failure
1226,Random Failures
1227,No Failure
1228,No Failure
1229,No Failure
1230,Tool Wear Failure
1231,No Failure
1232,No Failure
1233,No Failure
1234,No Failure
1235,No Failure
1236,No Failure
1237,No Failure
1238,Random Failures
1239,No Failure
1240,No Failure
1241,Random Failures
1242,No Failure
1243,No Failure
1244,No Failure
1245,Random Failures
1246,Random Failures
1247,No Failure
1248,No Failure
1249,No Failure
1250,No Failure
1251,Random Failures
1252,Random Failures
1253,Overstrain Failure
1254,No Failure
1255,No Failure
1256,Heat Dissipation Failure
1257,No Failure
1258,No Failure
1259,Random Failures
1260,Random Failures
1261,No Failure
1262,Tool Wear Failure
1263,No Failure
1264,Random Failures
1265,Random Failures
1266,No Failure
1267,Random Failures
1268,No Failure
1269,No Failure
1270,No Failure
1271,Random Failures
1272,No Failure
1273,No Failure
1274,No Failure
1275,No Failure
1276,Tool Wear Failure
1277,No Failure
1278,Tool Wear Failure
1279,No Failure
1280,No Failure
1281,No Failure
1282,No Failure
1283,No Failure
1284,Tool Wear Failure
1285,Tool Wear Failure
1286,Heat Dissipation Failure
1287,Random Failures
1288,No Failure
1289,No Failure
1290,Random Failures
1291,No Failure
1292,No Failure
1293,No Failure
1294,No Failure
1295,No Failure
1296,No Failure
1297,No Failure
1298,No Failure
1299,No Failure
1300,No Failure
1301,No Failure
1302,No Failure
1303,Power Failure
1304,Tool Wear Failure
1305,No Failure
1306,No Failure
1307,Random Failures
1308,No Failure
1309,No Failure
1310,No Failure
1311,No Failure
1312,Random Failures
1313,No Failure
1314,Overstrain Failure
1315,No Failure
1316,Tool Wear Failure
1317,Random Failures
1318,No Failure
1319,Random Failures
1320,Random Failures
1321,No Failure
1322,No Failure
1323,Random Failures
1324,Overstrain Failure
1325,No Failure
1326,No Failure
1327,Random Failures
1328,Tool Wear Failure
1329,Tool Wear Failure
1330,Random Failures
1331,No Failure
1332,No Failure
1333,Random Failures
1334,No Failure
1335,Random Failures
1336,No Failure
1337,No Failure
1338,Tool Wear Failure
1339,Tool Wear Failure
1340,No Failure
1341,No Failure
1342,No Failure
1343,No Failure
1344,Tool Wear Failure
1345,Random Failures
1346,No Failure
1347,Random Failures
1348,No Failure
1349,Random Failures
1350,No Failure
1351,No Failure
1352,Random Failures
1353,No Failure
1354,No Failure
1355,No Failure
1356,No Failure
1357,Random Failures
1358,No Failure
1359,No Failure
1360,No Failure
1361,No Failure
1362,No Failure
1363,No Failure
1364,No Failure
1365,Random Failures
1366,Heat Dissipation Failure
1367,No Failure
1368,Heat Dissipation Failure
1369,Random Failures
1370,No Failure
1371,No Failure
1372,Random Failures
1373,Random Failures
1374,No Failure
1375,No Failure
1376,No Failure
1377,Random Failures
1378,No Failure
1379,Random Failures
1380,Random Failures
1381,Random Failures
1382,No Failure
1383,Tool Wear Failure
1384,No Failure
1385,Random Failures
1386,No Failure
1387,No Failure
1388,Random Failures
1389,No Failure
1390,Random Failures
1391,Heat Dissipation Failure
1392,No Failure
1393,No Failure
1394,No Failure
1395,No Failure
1396,Tool Wear Failure
1397,No Failure
1398,No Failure
1399,No Failure
1400,No Failure
1401,No Failure
1402,No Failure
1403,No Failure
1404,No Failure
1405,Random Failures
1406,No Failure
1407,No Failure
1408,Random Failures
1409,Random Failures
1410,Tool Wear Failure
1411,No Failure
1412,Heat Dissipation Failure
1413,No Failure
1414,No Failure
1415,Random Failures
1416,No Failure
1417,Random Failures
1418,Random Failures
1419,No Failure
1420,No Failure
1421,No Failure
1422,Overstrain Failure
1423,Random Failures
1424,Heat Dissipation Failure
1425,No Failure
1426,No Failure
1427,Random Failures
1428,No Failure
1429,No Failure
1430,Random Failures
1431,No Failure
1432,No Failure
1433,Tool Wear Failure
1434,Random Failures
1435,No Failure
1436,No Failure
1437,Random Failures
1438,No Failure
1439,Random Failures
1440,No Failure
1441,No Failure
1442,Random Failures
1443,Random Failures
1444,No Failure
1445,No Failure
1446,Random Failures
1447,Random Failures
1448,No Failure
1449,Tool Wear Failure
1450,No Failure
1451,No Failure
1452,No Failure
1453,Random Failures
1454,Random Failures
1455,Random Failures
1456,Random Failures
1457,No Failure
1458,No Failure
1459,No Failure
1460,No Failure
1461,No Failure
1462,No Failure
1463,Heat Dissipation Failure
1464,Heat Dissipation Failure
1465,No Failure
1466,Tool Wear Failure
1467,No Failure
1468,No Failure
1469,Random Failures
1470,No Failure
1471,No Failure
1472,Random Failures
1473,No Failure
1474,Tool Wear Failure
1475,No Failure
1476,No Failure
1477,No Failure
1478,Overstrain Failure
1479,No Failure
1480,No Failure
1481,No Failure
1482,No Failure
1483,Tool Wear Failure
1484,No Failure
1485,No Failure
1486,No Failure
1487,Random Failures
1488,Random Failures
1489,Random Failures
1490,No Failure
1491,Power Failure
1492,No Failure
1493,No Failure
1494,No Failure
1495,Random Failures
1496,No Failure
1497,No Failure
1498,Random Failures
1499,No Failure
1500,No Failure
1501,Random Failures
1502,No Failure
1503,No Failure
1504,No Failure
1505,No Failure
1506,No Failure
1507,No Failure
1508,No Failure
1509,Random Failures
1510,Tool Wear Failure
1511,Random Failures
1512,Random Failures
1513,Random Failures
1514,No Failure
1515,Random Failures
1516,No Failure
1517,No Failure
1518,Random Failures
1519,No Failure
1520,Tool Wear Failure
1521,Random Failures
1522,No Failure
1523,No Failure
1524,No Failure
1525,Random Failures
1526,No Failure
1527,No Failure
1528,No Failure
1529,No Failure
1530,No Failure
1531,No Failure
1532,No Failure
1533,No Failure
1534,Heat Dissipation Failure
1535,Tool Wear Failure
1536,Tool Wear Failure
1537,Random Failures
1538,Random Failures
1539,Random Failures
1540,No Failure
1541,No Failure
1542,Random Failures
1543,Random Failures
1544,Random Failures
1545,No Failure
1546,Random Failures
1547,Random Failures
1548,Random Failures
1549,Random Failures
1550,No Failure
1551,No Failure
1552,No Failure
1553,No Failure
1554,Overstrain Failure
1555,No Failure
1556,Heat Dissipation Failure
1557,No Failure
1558,No Failure
1559,No Failure
1560,No Failure
1561,No Failure
1562,No Failure
1563,No Failure
1564,No Failure
1565,No Failure
1566,No Failure
1567,No Failure
1568,No Failure
1569,Random Failures
1570,No Failure
1571,No Failure
1572,No Failure
1573,No Failure
1574,Power Failure
1575,No Failure
1576,Random Failures
1577,No Failure
1578,No Failure
1579,No Failure
1580,Random Failures
1581,No Failure
1582,Random Failures
1583,No Failure
1584,No Failure
1585,Random Failures
1586,No Failure
1587,Random Failures
1588,No Failure
1589,No Failure
1590,No Failure
1591,Power Failure
1592,No Failure
1593,No Failure
1594,Random Failures
1595,No Failure
1596,Overstrain Failure
1597,No Failure
1598,No Failure
1599,No Failure
1600,No Failure
1601,No Failure
1602,No Failure
1603,No Failure
1604,No Failure
1605,No Failure
1606,No Failure
1607,No Failure
1608,Random Failures
1609,No Failure
1610,Random Failures
1611,Random Failures
1612,No Failure
1613,Tool Wear Failure
1614,Random Failures
1615,No Failure
1616,Random Failures
1617,Random Failures
1618,Random Failures
1619,No Failure
1620,Random Failures
1621,Random Failures
1622,No Failure
1623,No Failure
1624,No Failure
1625,Random Failures
1626,No Failure
1627,Random Failures
1628,Heat Dissipation Failure
1629,No Failure
1630,Random Failures
1631,No Failure
1632,Tool Wear Failure
1633,Random Failures
1634,No Failure
1635,No Failure
1636,No Failure
1637,No Failure
1638,No Failure
1639,No Failure
1640,No Failure
1641,Tool Wear Failure
1642,Random Failures
1643,Random Failures
1644,No Failure
1645,No Failure
1646,Heat Dissipation Failure
1647,No Failure
1648,Power Failure
1649,No Failure
1650,No Failure
1651,No Failure
1652,No Failure
1653,No Failure
1654,No Failure
1655,No Failure
1656,Tool Wear Failure
1657,Tool Wear Failure
1658,No Failure
1659,No Failure
1660,No Failure
1661,No Failure
1662,Heat Dissipation Failure
1663,Random Failures
1664,No Failure
1665,No Failure
1666,No Failure
1667,Overstrain Failure
1668,Tool Wear Failure
1669,No Failure
1670,No Failure
1671,Random Failures
1672,No Failure
1673,Random Failures
1674,No Failure
1675,No Failure
1676,Random Failures
1677,Random Failures
1678,Heat Dissipation Failure
1679,No Failure
1680,No Failure
1681,No Failure
1682,Random Failures
1683,Random Failures
1684,No Failure
1685,No Failure
1686,No Failure
1687,No Failure
1688,No Failure
